GA_population_100
1	0.034	0.023	0.022	0.022	0.030
11	0.270	0.249	0.244	0.250	0.275
22	0.553	0.499	0.489	0.508	0.537
35	0.882	0.796	0.775	0.798	0.873
50	1.269	1.163	1.095	1.146	1.217
67	1.686	1.504	1.463	1.496	1.562
87	2.187	1.930	1.916	1.949	2.089
110	2.765	2.493	2.411	2.538	2.951
136	3.408	3.133	2.989	3.096	3.521
166	4.149	3.729	3.619	3.718	4.429
200	4.979	4.459	4.374	4.389	5.339
239	5.837	5.308	5.211	5.378	6.847
284	6.975	6.443	6.209	6.371	8.164
336	8.175	7.950	7.614	7.438	9.501
396	9.677	8.932	8.812	8.800	11.241
465	11.250	10.427	10.437	10.991	14.876
544	13.191	12.452	12.288	12.518	16.998
635	14.877	14.836	14.412	14.406	21.030
740	17.563	16.641	16.950	16.847	24.821
860	19.850	20.762	19.767	19.827	27.928
998	22.446	23.316	22.877	23.719	30.151
GA_population_200
1	0.025	0.024	0.023	0.026	0.027
11	0.283	0.261	0.240	0.258	0.252
22	0.524	0.508	0.499	0.518	0.507
35	0.838	0.805	1.109	0.821	0.823
50	1.172	1.152	1.162	1.213	1.141
67	1.589	1.535	1.503	1.621	1.526
87	2.045	1.982	1.901	2.135	1.979
110	2.721	2.508	2.408	2.678	2.529
136	3.251	3.201	3.245	3.325	3.091
166	3.941	3.780	4.053	4.109	3.758
200	4.682	4.547	4.626	5.080	4.482
239	5.679	5.390	5.539	6.096	5.465
284	6.777	6.460	6.914	7.418	6.539
336	7.842	7.617	8.229	8.596	7.724
396	9.490	9.143	9.506	10.170	9.151
465	11.029	10.717	10.716	11.879	10.579
544	12.808	12.966	13.344	13.680	12.390
635	14.989	15.386	15.558	16.229	14.467
740	18.252	18.591	17.116	18.838	16.772
860	19.924	21.419	19.903	20.330	19.442
998	22.800	22.942	23.134	23.171	22.881
GA_population_300
1	0.026	0.023	0.022	0.032	0.072
11	0.264	0.244	0.244	0.300	0.731
22	0.559	0.487	0.486	0.620	1.262
35	0.891	0.766	0.778	0.919	1.503
50	1.262	1.100	1.105	1.321	2.845
67	1.650	1.478	1.480	1.755	3.457
87	2.191	1.917	1.911	2.288	4.362
110	2.716	2.414	2.435	2.911	7.151
136	3.220	2.999	3.008	3.583	9.504
166	3.938	3.651	3.667	4.574	10.392
200	4.671	4.398	4.436	5.618	12.554
239	5.638	5.259	5.360	6.766	13.405
284	6.604	6.249	6.403	9.672	15.250
336	7.902	7.397	7.557	30.770	16.923
396	9.098	8.715	9.105	23.167	23.339
465	10.642	10.238	10.266	32.647	25.178
544	12.519	12.183	12.006	37.431	34.133
635	14.841	14.139	14.003	37.045	34.986
740	16.987	16.337	17.585	43.191	40.751
860	19.029	18.991	25.724	57.694	53.863
998	22.024	22.002	28.166	60.865	56.194
GA_mate_50
1	0.040	0.071	0.063	0.048	0.036
11	0.377	1.008	0.448	0.420	0.375
22	0.950	0.790	0.864	0.819	0.753
35	1.303	1.574	2.454	1.300	1.253
50	2.135	2.309	2.217	2.047	1.714
67	2.349	3.554	2.831	2.499	2.296
87	3.001	4.100	3.885	3.411	2.837
110	4.233	4.464	5.898	4.352	3.783
136	4.097	5.617	5.356	4.861	4.699
166	5.824	7.102	6.606	6.351	5.797
200	7.455	8.932	7.656	7.924	6.574
239	10.027	9.241	8.484	9.531	8.839
284	11.524	12.555	8.254	11.523	13.062
336	16.267	12.968	13.511	11.874	19.162
396	17.381	14.958	16.829	14.820	17.888
465	19.466	19.912	23.049	18.098	17.613
544	25.640	24.070	20.164	23.864	27.051
635	24.494	27.114	27.200	29.179	29.130
740	30.629	29.654	26.493	34.169	35.885
860	35.709	37.492	30.648	33.190	36.414
998	47.661	45.590	38.651	40.021	31.789
GA_mate_75
1	0.040	0.026	0.044	0.023	0.022
11	0.435	0.298	0.334	0.280	0.286
22	0.867	0.609	0.628	0.564	0.612
35	1.347	0.915	1.061	0.911	1.002
50	1.918	1.317	1.488	1.306	1.635
67	2.810	1.731	1.892	1.720	1.931
87	3.779	2.208	2.638	2.241	2.324
110	4.694	2.892	3.100	2.807	3.734
136	4.927	3.560	3.683	3.477	3.666
166	6.206	4.242	4.458	4.245	4.334
200	6.306	5.186	5.268	5.189	5.500
239	7.570	6.241	6.363	6.348	6.562
284	8.313	7.862	7.474	7.507	8.247
336	10.004	11.187	8.794	8.800	9.193
396	12.139	15.022	10.742	10.683	11.084
465	13.143	17.673	12.502	12.698	13.186
544	17.013	23.828	14.781	14.393	15.296
635	21.120	27.520	17.284	16.415	19.842
740	20.195	33.503	19.064	19.789	20.833
860	23.391	41.776	23.028	22.825	23.061
998	27.217	27.123	26.467	26.078	27.507
GA_mate_100
1	0.028	0.026	0.026	0.026	0.072
11	0.389	0.306	0.334	0.312	0.321
22	0.668	0.657	0.710	0.640	0.706
35	1.125	1.185	1.175	0.984	1.127
50	1.526	1.700	1.782	1.396	1.786
67	2.155	2.696	2.288	1.924	2.092
87	2.684	3.883	2.977	2.486	2.584
110	3.423	4.148	4.015	3.109	3.639
136	4.184	5.287	4.203	3.826	4.304
166	5.037	6.369	4.996	5.073	5.132
200	6.101	6.760	5.887	6.080	6.378
239	7.119	8.062	7.028	7.215	7.818
284	8.379	10.550	8.065	8.589	9.140
336	9.938	13.294	9.646	10.112	11.633
396	12.456	13.828	11.308	13.299	13.207
465	14.194	16.859	14.194	16.077	15.487
544	16.251	20.225	16.164	17.913	19.621
635	19.481	20.258	18.778	20.442	22.636
740	23.130	23.727	22.552	25.112	24.883
860	27.404	29.951	26.446	27.462	27.768
998	30.569	35.477	29.198	30.414	32.112
