RHC
1	0.041	0.002	0.002	0.002	0.002
11	0.079	0.016	0.017	0.016	0.020
22	0.110	0.034	0.034	0.033	0.039
35	0.131	0.054	0.052	0.055	0.060
50	0.100	0.069	0.070	0.071	0.091
67	0.153	0.095	0.096	0.096	0.124
87	0.175	0.122	0.122	0.124	0.148
110	0.213	0.155	0.153	0.159	0.224
136	0.287	0.188	0.189	0.195	0.250
166	0.314	0.236	0.235	0.236	0.309
200	0.374	0.274	0.279	0.282	0.349
239	0.458	0.332	0.335	0.346	0.396
284	0.533	0.395	0.385	0.417	0.484
336	0.596	0.465	0.461	0.477	0.567
396	0.583	0.547	0.553	0.572	0.675
465	0.665	0.649	0.645	0.663	0.792
544	0.789	0.745	0.746	0.783	0.951
635	0.933	0.871	0.878	0.900	1.187
740	1.087	1.009	1.022	1.047	1.283
860	1.277	1.183	1.191	1.199	1.442
998	1.450	1.371	1.382	1.418	1.658
1157	1.732	1.595	1.600	1.659	1.947
1340	1.994	1.832	1.854	1.932	2.236
1550	2.297	2.133	2.141	2.194	2.543
1792	2.676	2.462	2.473	2.575	3.022
2070	3.269	2.845	2.882	2.969	3.567
2390	3.887	3.270	3.290	3.381	3.979
2758	4.386	3.786	3.802	3.997	4.617
3181	5.092	4.365	4.387	4.565	5.388
3668	5.829	5.049	5.149	5.299	6.187
4228	6.753	5.822	5.806	6.034	7.136
4872	7.783	6.692	6.706	7.079	8.195
5612	8.793	7.698	7.924	9.990	9.262
6463	10.153	8.883	10.460	11.512	9.492
7442	11.655	10.199	13.052	11.730	11.026
8568	13.661	11.733	13.910	15.921	12.706
9863	15.756	13.622	16.235	17.946	14.380
11352	18.081	15.886	20.100	20.655	16.396
13064	21.400	18.119	23.704	24.353	18.843
15033	24.530	20.771	23.953	25.325	23.404
17297	27.870	23.903	28.460	31.082	28.167
19901	27.517	27.408	31.777	34.155	36.842
