SA_temp_1E6
1	0.004	0.002	0.001	0.002	0.002
11	0.031	0.018	0.016	0.015	0.021
22	0.063	0.036	0.042	0.031	0.037
35	0.060	0.059	0.053	0.048	0.061
50	0.079	0.085	0.080	0.069	0.084
67	0.105	0.110	0.114	0.092	0.109
87	0.132	0.150	0.146	0.118	0.136
110	0.166	0.189	0.187	0.148	0.182
136	0.208	0.228	0.226	0.183	0.223
166	0.287	0.274	0.287	0.222	0.274
200	0.323	0.323	0.334	0.264	0.317
239	0.413	0.383	0.424	0.316	0.386
284	0.553	0.486	0.488	0.376	0.443
336	0.683	0.583	0.594	0.443	0.515
396	1.271	0.668	0.652	0.522	0.639
465	1.297	0.781	0.763	0.612	0.826
544	1.266	0.912	0.887	0.714	0.882
635	1.436	1.070	1.037	0.833	0.983
740	1.627	1.315	1.234	0.987	1.195
860	1.802	1.423	1.534	1.496	1.309
998	1.971	1.436	1.577	1.394	1.438
1157	2.192	1.634	1.799	1.586	1.666
1340	2.743	2.188	2.151	1.776	1.928
1550	3.414	2.744	2.390	2.100	2.250
1792	3.967	3.135	2.740	2.665	2.583
2070	4.600	3.729	3.608	3.188	3.399
2390	5.185	3.999	3.753	3.585	3.848
2758	5.965	4.547	3.813	4.007	4.353
3181	6.040	5.505	4.175	4.903	6.487
3668	6.951	6.281	4.833	5.893	6.404
4228	7.865	7.393	5.535	6.757	6.685
4872	8.919	8.578	6.349	7.498	7.923
5612	10.415	9.674	7.319	8.112	8.491
6463	12.191	11.077	8.489	9.709	9.670
7442	13.824	12.706	9.778	12.542	12.331
8568	16.184	14.583	11.265	14.520	14.388
9863	18.149	16.673	12.789	16.310	19.284
11352	26.854	19.674	14.851	17.213	18.498
13064	29.135	20.112	17.153	20.309	22.948
15033	31.320	22.415	19.730	23.595	22.900
17297	38.399	25.288	22.607	27.509	26.223
19901	44.355	33.557	26.078	31.629	30.363
SA_temp_1E8
1	0.001	0.002	0.001	0.001	0.001
11	0.020	0.019	0.015	0.022	0.017
22	0.033	0.044	0.032	0.041	0.032
35	0.058	0.066	0.049	0.066	0.065
50	0.077	0.092	0.070	0.090	0.112
67	0.097	0.122	0.101	0.110	0.111
87	0.133	0.160	0.128	0.162	0.127
110	0.173	0.198	0.158	0.189	0.167
136	0.203	0.244	0.189	0.238	0.206
166	0.246	0.295	0.238	0.311	0.238
200	0.300	0.375	0.302	0.355	0.311
239	0.357	0.438	0.328	0.506	0.385
284	0.420	0.530	0.384	0.534	0.420
336	0.504	0.604	0.458	0.632	0.586
396	0.588	0.723	0.537	0.724	0.576
465	0.758	0.815	0.641	0.817	0.740
544	0.816	1.007	0.744	1.018	0.768
635	0.941	1.283	0.861	1.074	0.990
740	1.100	1.433	1.025	1.289	1.380
860	1.286	1.608	1.175	1.492	1.909
998	1.826	1.856	1.364	1.733	2.057
1157	2.197	2.119	1.589	1.992	2.167
1340	2.479	2.404	1.934	2.283	2.440
1550	2.789	2.698	2.409	2.737	2.373
1792	3.439	2.904	2.683	3.144	2.717
2070	3.437	3.106	3.019	3.611	3.121
2390	4.002	3.571	3.322	3.344	3.712
2758	4.737	4.217	3.806	4.150	4.263
3181	4.722	5.113	4.534	5.669	4.864
3668	5.325	6.026	5.760	6.542	5.793
4228	7.188	6.704	6.177	7.365	6.434
4872	8.614	7.528	6.751	8.640	7.343
5612	10.764	8.735	8.309	9.721	8.714
6463	11.510	10.058	8.811	11.439	9.967
7442	12.652	11.839	10.458	13.349	11.400
8568	14.541	14.271	13.854	15.313	13.110
9863	16.147	15.231	14.561	17.657	15.288
11352	19.554	16.952	15.532	19.965	17.286
13064	23.198	19.279	18.587	22.571	20.107
15033	29.357	21.674	22.292	26.049	22.982
17297	30.177	28.371	24.155	30.371	26.051
19901	36.335	30.717	34.028	29.091	30.478
SA_temp_1E10
1	0.001	0.001	0.002	0.002	0.001
11	0.016	0.018	0.021	0.024	0.018
22	0.034	0.037	0.042	0.065	0.036
35	0.048	0.056	0.064	0.094	0.052
50	0.071	0.082	0.104	0.155	0.077
67	0.095	0.113	0.133	0.178	0.101
87	0.122	0.143	0.161	0.201	0.124
110	0.157	0.175	0.203	0.283	0.159
136	0.195	0.224	0.239	0.351	0.198
166	0.235	0.280	0.306	0.345	0.244
200	0.285	0.342	0.345	0.356	0.288
239	0.341	0.397	0.452	0.397	0.348
284	0.423	0.471	0.545	0.498	0.570
336	0.496	0.594	0.629	0.603	0.957
396	0.597	0.648	0.717	0.675	0.620
465	0.702	0.761	0.831	0.803	0.707
544	0.810	0.905	1.067	0.975	0.817
635	0.964	1.037	1.238	1.142	0.996
740	1.151	1.253	1.319	1.284	1.135
860	1.423	1.505	1.479	1.548	1.642
998	1.938	1.612	1.753	1.757	1.419
1157	1.876	1.996	2.347	2.010	1.653
1340	2.136	2.199	2.735	2.328	1.967
1550	2.411	2.719	3.266	2.731	2.251
1792	3.253	2.904	4.288	3.151	2.544
2070	2.941	3.448	5.046	3.679	2.918
2390	5.378	4.067	6.250	4.457	3.388
2758	4.609	4.664	4.595	4.426	3.930
3181	4.915	5.236	5.417	4.420	4.624
3668	6.911	5.998	5.829	7.609	5.394
4228	8.012	7.330	6.303	7.091	6.383
4872	9.194	7.321	6.581	8.444	7.334
5612	8.407	10.117	7.613	8.539	8.417
6463	9.703	16.445	8.719	9.611	9.696
7442	11.073	18.621	10.095	11.144	11.464
8568	12.999	18.930	11.692	12.931	12.681
9863	14.329	15.119	13.481	14.823	14.566
11352	18.327	22.106	15.575	17.021	16.905
13064	22.605	23.167	17.903	19.571	19.789
15033	25.977	26.842	20.642	23.516	22.790
17297	28.857	33.101	31.299	31.669	26.337
19901	33.479	36.901	34.630	33.467	30.319
SA_temp_1E12
1	0.002	0.001	0.001	0.002	0.002
11	0.016	0.016	0.020	0.017	0.024
22	0.032	0.035	0.040	0.032	0.044
