@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
0,164,0,181,0,1,1,0.475362,1,0.524638,0.644401,1,1,0.000164
1,164,0,170,11,0.939227,1,0.491018,1,0.508982,0.658635,0.968116,1.032934,0.000342
2,164,0,169,12,0.933702,1,0.492492,1,0.507508,0.65996,0.965217,1.036036,0.000539
3,164,0,166,15,0.917127,1,0.49697,1,0.50303,0.663968,0.956522,1.045455,0.000574
4,164,0,165,16,0.911602,1,0.49848,1,0.50152,0.665314,0.953623,1.048632,0.000682
5,164,0,152,29,0.839779,1,0.518987,1,0.481013,0.683333,0.915942,1.091772,0.000783
6,164,0,151,30,0.834254,1,0.520635,1,0.479365,0.68476,0.913043,1.095238,0.000992
7,164,0,147,34,0.812155,1,0.527331,1,0.472669,0.690526,0.901449,1.109325,0.0012
8,164,0,146,35,0.80663,1,0.529032,1,0.470968,0.691983,0.898551,1.112903,0.001519
9,160,4,141,40,0.779006,0.97561,0.531561,0.97561,0.468439,0.688172,0.872464,1.118224,0.002068
10,160,4,140,41,0.773481,0.97561,0.533333,0.97561,0.466667,0.689655,0.869565,1.121951,0.002205
11,160,4,138,43,0.762431,0.97561,0.536913,0.97561,0.463087,0.692641,0.863768,1.129481,0.002209
12,159,5,138,43,0.762431,0.969512,0.535354,0.969512,0.464646,0.689805,0.86087,1.126201,0.002746
13,159,5,137,44,0.756906,0.969512,0.537162,0.969512,0.462838,0.691304,0.857971,1.130006,0.003125
14,158,6,135,46,0.745856,0.963415,0.539249,0.963415,0.460751,0.691466,0.849275,1.134396,0.003798
15,158,6,134,47,0.740331,0.963415,0.541096,0.963415,0.458904,0.692982,0.846377,1.138281,0.007896
16,158,6,133,48,0.734807,0.963415,0.542955,0.963415,0.457045,0.694505,0.843478,1.142193,0.008148
17,156,8,132,49,0.729282,0.95122,0.541667,0.95122,0.458333,0.690265,0.834783,1.139482,0.012092
18,155,9,132,49,0.729282,0.945122,0.54007,0.945122,0.45993,0.687361,0.831884,1.136122,0.012897
19,153,11,129,52,0.712707,0.932927,0.542553,0.932927,0.457447,0.686099,0.817391,1.141347,0.013229
20,151,13,128,53,0.707182,0.920732,0.541219,0.920732,0.458781,0.681716,0.808696,1.138539,0.013744
21,151,13,127,54,0.701657,0.920732,0.543165,0.920732,0.456835,0.683258,0.805797,1.142635,0.015644
22,151,13,125,56,0.690608,0.920732,0.547101,0.920732,0.452899,0.686364,0.8,1.150915,0.022602
23,151,13,124,57,0.685083,0.920732,0.549091,0.920732,0.450909,0.687927,0.797101,1.1551,0.024346
24,151,13,123,58,0.679558,0.920732,0.551095,0.920732,0.448905,0.689498,0.794203,1.159315,0.024949
25,149,15,121,60,0.668508,0.908537,0.551852,0.908537,0.448148,0.686636,0.782609,1.160908,0.027222
26,149,15,120,61,0.662983,0.908537,0.553903,0.908537,0.446097,0.688222,0.77971,1.165224,0.028307
27,147,17,116,65,0.640884,0.896341,0.558935,0.896341,0.441065,0.688525,0.762319,1.175809,0.033111
28,147,17,113,68,0.624309,0.896341,0.565385,0.896341,0.434615,0.693396,0.753623,1.189376,0.034221
29,147,17,104,77,0.574586,0.896341,0.585657,0.896341,0.414343,0.708434,0.727536,1.232023,0.035237
30,146,18,104,77,0.574586,0.890244,0.584,0.890244,0.416,0.705314,0.724638,1.228537,0.035845
31,145,19,104,77,0.574586,0.884146,0.582329,0.884146,0.417671,0.702179,0.721739,1.225022,0.039125
32,145,19,103,78,0.569061,0.884146,0.584677,0.884146,0.415323,0.703883,0.718841,1.229962,0.047463
33,144,20,101,80,0.558011,0.878049,0.587755,0.878049,0.412245,0.704156,0.710145,1.236436,0.04903
34,142,22,100,81,0.552486,0.865854,0.586777,0.865854,0.413223,0.699507,0.701449,1.234378,0.065628
35,141,23,100,81,0.552486,0.859756,0.585062,0.859756,0.414938,0.696296,0.698551,1.230771,0.070936
36,133,31,90,91,0.497238,0.810976,0.596413,0.810976,0.403587,0.687339,0.646377,1.254648,0.074749
37,132,32,89,92,0.491713,0.804878,0.597285,0.804878,0.402715,0.685714,0.64058,1.256484,0.099988
38,131,33,89,92,0.491713,0.79878,0.595455,0.79878,0.404545,0.682292,0.637681,1.252633,0.112271
39,131,33,88,93,0.486188,0.79878,0.598174,0.79878,0.401826,0.684073,0.634783,1.258353,0.121408
40,131,33,87,94,0.480663,0.79878,0.600917,0.79878,0.399083,0.685864,0.631884,1.264125,0.131452
41,130,34,87,94,0.480663,0.792683,0.599078,0.792683,0.400922,0.682415,0.628986,1.260256,0.180175
42,129,35,87,94,0.480663,0.786585,0.597222,0.786585,0.402778,0.678947,0.626087,1.256352,0.181356
43,127,37,84,97,0.464088,0.77439,0.601896,0.77439,0.398104,0.677333,0.611594,1.266183,0.188253
44,125,39,84,97,0.464088,0.762195,0.598086,0.762195,0.401914,0.670241,0.605797,1.258169,0.280038
45,123,41,83,98,0.458564,0.75,0.597087,0.75,0.402913,0.664865,0.597101,1.256068,0.295635
46,122,42,83,98,0.458564,0.743902,0.595122,0.743902,0.404878,0.661247,0.594203,1.251933,0.328859
47,117,47,81,100,0.447514,0.713415,0.590909,0.713415,0.409091,0.646409,0.573913,1.243071,0.348915
48,116,48,81,100,0.447514,0.707317,0.588832,0.707317,0.411168,0.642659,0.571014,1.238702,0.365489
49,115,49,81,100,0.447514,0.70122,0.586735,0.70122,0.413265,0.638889,0.568116,1.234289,0.373437
50,112,52,81,100,0.447514,0.682927,0.580311,0.682927,0.419689,0.627451,0.55942,1.220776,0.402227
51,107,57,80,101,0.441989,0.652439,0.572193,0.652439,0.427807,0.609687,0.542029,1.203698,0.404254
52,106,58,74,107,0.40884,0.646341,0.588889,0.646341,0.411111,0.616279,0.521739,1.238821,0.41622
