@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
0,150,0,138,0,1,1,0.520833,1,0.479167,0.684932,1,1,0.031971
1,150,0,137,1,0.992754,1,0.522648,1,0.477352,0.686499,0.996528,1.003484,0.040442
2,150,0,136,2,0.985507,1,0.524476,1,0.475524,0.688073,0.993056,1.006993,0.04095
3,150,0,135,3,0.978261,1,0.526316,1,0.473684,0.689655,0.989583,1.010526,0.041093
4,150,0,134,4,0.971014,1,0.528169,1,0.471831,0.691244,0.986111,1.014085,0.059223
5,150,0,133,5,0.963768,1,0.530035,1,0.469965,0.692841,0.982639,1.017668,0.064921
6,150,0,130,8,0.942029,1,0.535714,1,0.464286,0.697674,0.972222,1.028571,0.066766
7,150,0,129,9,0.934783,1,0.537634,1,0.462366,0.699301,0.96875,1.032258,0.071655
8,150,0,128,10,0.927536,1,0.539568,1,0.460432,0.700935,0.965278,1.035971,0.072461
9,150,0,127,11,0.92029,1,0.541516,1,0.458484,0.702576,0.961806,1.039711,0.073009
10,150,0,126,12,0.913043,1,0.543478,1,0.456522,0.704225,0.958333,1.043478,0.076885
11,150,0,125,13,0.905797,1,0.545455,1,0.454545,0.705882,0.954861,1.047273,0.078828
12,150,0,124,14,0.898551,1,0.547445,1,0.452555,0.707547,0.951389,1.051095,0.079144
13,149,1,124,14,0.898551,0.993333,0.545788,0.993333,0.454212,0.704492,0.947917,1.047912,0.080595
14,149,1,123,15,0.891304,0.993333,0.547794,0.993333,0.452206,0.706161,0.944444,1.051765,0.086354
15,149,1,122,16,0.884058,0.993333,0.549815,0.993333,0.450185,0.707838,0.940972,1.055646,0.086585
16,149,1,121,17,0.876812,0.993333,0.551852,0.993333,0.448148,0.709524,0.9375,1.059556,0.086966
17,149,1,120,18,0.869565,0.993333,0.553903,0.993333,0.446097,0.711217,0.934028,1.063494,0.087688
18,149,1,118,20,0.855072,0.993333,0.558052,0.993333,0.441948,0.714628,0.927083,1.071461,0.090769
19,149,1,117,21,0.847826,0.993333,0.56015,0.993333,0.43985,0.716346,0.923611,1.075489,0.091192
20,149,1,116,22,0.84058,0.993333,0.562264,0.993333,0.437736,0.718072,0.920139,1.079547,0.093585
21,149,1,115,23,0.833333,0.993333,0.564394,0.993333,0.435606,0.719807,0.916667,1.083636,0.110932
22,149,1,114,24,0.826087,0.993333,0.56654,0.993333,0.43346,0.72155,0.913194,1.087757,0.117572
23,149,1,113,25,0.818841,0.993333,0.568702,0.993333,0.431298,0.723301,0.909722,1.091908,0.119202
24,149,1,112,26,0.811594,0.993333,0.570881,0.993333,0.429119,0.725061,0.90625,1.096092,0.119586
25,149,1,111,27,0.804348,0.993333,0.573077,0.993333,0.426923,0.726829,0.902778,1.100308,0.124479
26,149,1,110,28,0.797101,0.993333,0.57529,0.993333,0.42471,0.728606,0.899306,1.104556,0.125083
27,149,1,109,29,0.789855,0.993333,0.577519,0.993333,0.422481,0.730392,0.895833,1.108837,0.131166
28,148,2,109,29,0.789855,0.986667,0.575875,0.986667,0.424125,0.727273,0.892361,1.105681,0.133146
29,148,2,108,30,0.782609,0.986667,0.578125,0.986667,0.421875,0.729064,0.888889,1.11,0.133776
30,148,2,107,31,0.775362,0.986667,0.580392,0.986667,0.419608,0.730864,0.885417,1.114353,0.136816
31,148,2,106,32,0.768116,0.986667,0.582677,0.986667,0.417323,0.732673,0.881944,1.11874,0.13797
32,148,2,105,33,0.76087,0.986667,0.58498,0.986667,0.41502,0.734491,0.878472,1.123162,0.14061
33,148,2,104,34,0.753623,0.986667,0.587302,0.986667,0.412698,0.736318,0.875,1.127619,0.142097
34,147,3,104,34,0.753623,0.98,0.585657,0.98,0.414343,0.733167,0.871528,1.124462,0.142989
35,145,5,103,35,0.746377,0.966667,0.584677,0.966667,0.415323,0.728643,0.861111,1.122581,0.144294
36,145,5,102,36,0.73913,0.966667,0.587045,0.966667,0.412955,0.730479,0.857639,1.127126,0.160526
37,145,5,101,37,0.731884,0.966667,0.589431,0.966667,0.410569,0.732323,0.854167,1.131707,0.166516
38,145,5,100,38,0.724638,0.966667,0.591837,0.966667,0.408163,0.734177,0.850694,1.136327,0.166959
39,145,5,99,39,0.717391,0.966667,0.594262,0.966667,0.405738,0.736041,0.847222,1.140984,0.168942
40,145,5,98,40,0.710145,0.966667,0.596708,0.966667,0.403292,0.737913,0.84375,1.145679,0.172077
41,144,6,98,40,0.710145,0.96,0.595041,0.96,0.404959,0.734694,0.840278,1.142479,0.172426
42,143,7,98,40,0.710145,0.953333,0.593361,0.953333,0.406639,0.731458,0.836806,1.139253,0.172485
43,143,7,97,41,0.702899,0.953333,0.595833,0.953333,0.404167,0.733333,0.833333,1.144,0.190949
44,143,7,96,42,0.695652,0.953333,0.598326,0.953333,0.401674,0.735219,0.829861,1.148787,0.192245
45,142,8,96,42,0.695652,0.946667,0.596639,0.946667,0.403361,0.731959,0.826389,1.145546,0.195298
46,142,8,95,43,0.688406,0.946667,0.599156,0.946667,0.400844,0.73385,0.822917,1.15038,0.195386
47,141,9,95,43,0.688406,0.94,0.597458,0.94,0.402542,0.73057,0.819444,1.147119,0.197125
48,141,9,94,44,0.681159,0.94,0.6,0.94,0.4,0.732468,0.815972,1.152,0.197143
49,141,9,93,45,0.673913,0.94,0.602564,0.94,0.397436,0.734375,0.8125,1.156923,0.200062
50,141,9,92,46,0.666667,0.94,0.60515,0.94,0.39485,0.736292,0.809028,1.161888,0.200619
51,141,9,91,47,0.65942,0.94,0.607759,0.94,0.392241,0.73822,0.805556,1.166897,0.200984
52,141,9,90,48,0.652174,0.94,0.61039,0.94,0.38961,0.740157,0.802083,1.171948,0.201637
