@relation InstanceResultListener

@attribute Key_Dataset {data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.1 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.5 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.75 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 5','-P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 10','-P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 25','-P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 50','-P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 100'}
@attribute Key_Scheme_version_ID {-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,86,10,0,89.583333,10.416667,0,0.658363,0.100613,0.245276,31.101923,61.5416,68.945233,24.100165,44.845068,0.71818,0.251043,0.467136,45.705407,0.476098,6198.54366,0.948052,73,0.315789,6,0.684211,13,0.051948,4,0.924051,0.948052,0.935897,0.659905,0.974368,0.992415,0.895833,0.263571,0.736429,0.104167,0.892514,0.895833,0.893608,0.659905,0.974368,0.969813,0.82906,0.895833,0.046,0,0.046875,0,46.875,0,3961,60970,7978,100,61.979167,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,91,5,0,94.791667,5.208333,0,0.845161,0.0703,0.177273,21.731318,44.479198,68.945233,14.657254,54.287979,0.71818,0.15268,0.5655,52.551551,0.547412,7127.014237,0.948052,73,0.052632,1,0.947368,18,0.051948,4,0.986486,0.948052,0.966887,0.848832,0.990772,0.997027,0.947917,0.052496,0.947504,0.052083,0.953176,0.947917,0.949305,0.848832,0.990772,0.98774,0.922468,0.947917,0.016,0,0.015625,0,15.625,0,3961,60970,7978,100,61.458333,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,90,6,0,93.75,6.25,0,0.786982,0.068834,0.171555,20.928183,42.242534,70.876475,13.18681,57.689665,0.738297,0.137363,0.600934,57.33112,0.597199,7798.853181,1,76,0.3,6,0.7,14,0,0,0.926829,1,0.962025,0.805469,1,1,0.9375,0.2375,0.7625,0.0625,0.942073,0.9375,0.933172,0.805469,1,1,0.892777,0.9375,0.015,0,0.015625,0,15.625,0,3961,60970,7978,100,60.416667,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,90,6,0,93.75,6.25,0,0.786982,0.07454,0.189637,22.663031,46.694912,70.876475,15.60834,55.268135,0.738297,0.162587,0.57571,55.433872,0.577436,7540.767168,1,76,0.3,6,0.7,14,0,0,0.926829,1,0.962025,0.805469,0.995066,0.998504,0.9375,0.2375,0.7625,0.0625,0.942073,0.9375,0.933172,0.805469,0.995066,0.994454,0.892777,0.9375,0.016,0,0.015625,0,15.625,0,3961,60970,7978,100,61.458333,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,90,6,0,93.75,6.25,0,0.786982,0.069556,0.177268,21.147749,43.649166,70.876475,14.884221,55.992255,0.738297,0.155044,0.583253,57.173339,0.595556,7777.389932,1,76,0.3,6,0.7,14,0,0,0.926829,1,0.962025,0.805469,0.995066,0.997887,0.9375,0.2375,0.7625,0.0625,0.942073,0.9375,0.933172,0.805469,0.995066,0.994421,0.892777,0.9375,0.018,0,0.015625,0,15.625,0,3961,60970,7978,100,60.9375,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,88,8,0,91.666667,8.333333,0,0.756345,0.114187,0.278547,34.717163,68.587485,70.876475,35.103382,35.773093,0.738297,0.36566,0.372636,43.948362,0.457795,5978.372949,0.934211,71,0.15,3,0.85,17,0.065789,5,0.959459,0.934211,0.946667,0.757752,0.946711,0.983597,0.916667,0.132456,0.867544,0.083333,0.920557,0.916667,0.918095,0.757752,0.946711,0.948158,0.878095,0.916667,0.021,0,0.015625,0,15.625,0,3961,60970,7978,96.875,60.9375,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,92,4,0,95.833333,4.166667,0,0.873684,0.069765,0.191758,21.21104,47.217121,70.876475,16.848973,54.027502,0.738297,0.17551,0.562786,55.789444,0.58114,7589.136219,0.973684,74,0.1,2,0.9,18,0.026316,2,0.973684,0.973684,0.973684,0.873684,0.984868,0.996065,0.958333,0.084649,0.915351,0.041667,0.958333,0.958333,0.958333,0.873684,0.984868,0.98149,0.936842,0.958333,0.016,0,0.015625,0,15.625,0,3961,60970,7978,100,61.979167,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,89,7,0,92.708333,7.291667,0,0.746224,0.085645,0.180672,26.039155,44.487394,70.876475,15.436497,55.439978,0.738297,0.160797,0.5775,54.779022,0.570615,7451.68672,1,76,0.35,7,0.65,13,0,0,0.915663,1,0.955975,0.77148,0.997697,0.99889,0.927083,0.277083,0.722917,0.072917,0.933233,0.927083,0.920955,0.77148,0.997697,0.995649,0.871927,0.927083,0.016,0,0.015625,0,15.625,0,3961,60970,7978,100,69.270833,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170203.1903,864,96,91,5,0,94.791667,5.208333,0,0.844961,0.071218,0.183511,21.652941,45.186455,70.876475,15.961291,54.915184,0.738297,0.166263,0.572033,54.18519,0.564429,7370.906722,0.960526,73,0.1,2,0.9,18,0.039474,3,0.973333,0.960526,0.966887,0.845368,0.984868,0.994599,0.947917,0.08739,0.91261,0.052083,0.949127,0.947917,0.948379,0.845368,0.984868,0.985503,0.922468,0.947917,0.019,0,0.015625,0,15.625,0,3961,60970,7978,98.958333,60.9375,?
