@relation InstanceResultListener

@attribute Key_Dataset {Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.1 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.5 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.75 -M 2'}
@attribute Key_Scheme_version_ID {-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,605,68,53,15,0,77.941176,22.058824,0,0.54947,0.241587,0.370549,48.692535,74.399923,67.617655,42.755834,24.861821,0.994377,0.628762,0.365615,35.998138,0.529384,3619.745773,0.864865,32,0.322581,10,0.677419,21,0.135135,5,0.761905,0.864865,0.810127,0.555773,0.883609,0.851216,0.779412,0.237128,0.762872,0.220588,0.782778,0.779412,0.776717,0.555773,0.883609,0.867678,0.773484,0.779412,0.021,0,0.015625,0,15.625,0,4301,48279,6930,97.058824,88.235294,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,605,68,56,12,0,82.352941,17.647059,0,0.644289,0.23754,0.369491,47.876763,74.187599,67.617655,45.844586,21.773069,0.994377,0.674185,0.320192,37.261275,0.54796,3746.758836,0.837838,31,0.193548,6,0.806452,25,0.162162,6,0.837838,0.837838,0.837838,0.644289,0.866173,0.878171,0.823529,0.17924,0.82076,0.176471,0.823529,0.823529,0.823529,0.644289,0.866173,0.839626,0.822145,0.823529,0.012,0,0.015625,0,15.625,0,4301,48279,6930,95.588235,86.029412,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,605,68,58,10,0,85.294118,14.705882,0,0.698849,0.234549,0.333537,47.27394,66.968555,67.617655,35.658029,31.959626,0.994377,0.524383,0.469994,38.010531,0.558978,3822.099282,0.945946,35,0.258065,8,0.741935,23,0.054054,2,0.813953,0.945946,0.875,0.710544,0.916739,0.914886,0.852941,0.16506,0.83494,0.147059,0.862298,0.852941,0.850578,0.710544,0.916739,0.911833,0.848214,0.852941,0.013,0.001,0.015625,0,15.625,0,4301,48279,6930,100,89.705882,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,606,67,55,12,0,82.089552,17.910448,0,0.637838,0.239932,0.348432,48.418995,70.057248,66.488989,37.83455,28.654439,0.992373,0.564695,0.427678,36.190301,0.540154,3638.250693,0.837838,31,0.2,6,0.8,24,0.162162,6,0.837838,0.837838,0.837838,0.637838,0.904054,0.896114,0.820896,0.183058,0.816942,0.179104,0.820896,0.820896,0.820896,0.637838,0.904054,0.888383,0.818919,0.820896,0.013,0.001,0.015625,0,15.625,0,4301,48356,6853,100,94.776119,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,606,67,55,12,0,82.089552,17.910448,0,0.635539,0.266602,0.383261,53.801224,77.059972,66.488989,44.889444,21.599545,0.992373,0.669992,0.322381,32.73175,0.488534,3290.558829,0.864865,32,0.233333,7,0.766667,23,0.135135,5,0.820513,0.864865,0.842105,0.636715,0.872523,0.870174,0.820896,0.189364,0.810636,0.179104,0.820923,0.820896,0.820164,0.636715,0.872523,0.851868,0.817604,0.820896,0.017,0.001,0.015625,0,15.625,0,4301,48356,6853,100,97.761194,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,606,67,57,10,0,85.074627,14.925373,0,0.694343,0.227445,0.353581,45.899206,71.092422,66.488989,39.703415,26.785574,0.992373,0.592588,0.399785,37.722058,0.563016,3792.239898,0.918919,34,0.233333,7,0.766667,23,0.081081,3,0.829268,0.918919,0.871795,0.699592,0.885586,0.876186,0.850746,0.165161,0.834839,0.149254,0.854051,0.850746,0.849243,0.699592,0.885586,0.863911,0.846612,0.850746,0.033,0,0.03125,0,31.25,0,4301,48356,6853,98.507463,87.313433,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,606,67,57,10,0,85.074627,14.925373,0,0.69847,0.260899,0.368726,52.527936,73.943853,66.74039,43.484217,23.256172,0.996125,0.649018,0.347107,33.64162,0.502114,3383.439713,0.888889,32,0.193548,6,0.806452,25,0.111111,4,0.842105,0.888889,0.864865,0.699743,0.876344,0.89298,0.850746,0.155406,0.844594,0.149254,0.851342,0.850746,0.850276,0.699743,0.876344,0.857256,0.849099,0.850746,0.012,0,0,0,0,0,4301,48356,6853,95.522388,82.835821,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,606,67,55,12,0,82.089552,17.910448,0,0.644562,0.252973,0.388733,50.932204,77.956167,66.74039,50.372998,16.367392,0.996125,0.751836,0.244289,34.512829,0.515117,3471.059904,0.75,27,0.096774,3,0.903226,28,0.25,9,0.9,0.75,0.818182,0.654989,0.84991,0.868041,0.820896,0.16767,0.83233,0.179104,0.833723,0.820896,0.820656,0.654989,0.84991,0.812704,0.820856,0.820896,0.009,0,0,0,0,0,4301,48356,6853,92.537313,83.58209,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,20170204.0541,606,67,59,8,0,88.059701,11.940299,0,0.759857,0.174572,0.286348,35.147432,57.423966,66.74039,25.988613,40.751777,0.996125,0.38789,0.608235,45.088995,0.67297,4534.7369,0.888889,32,0.129032,4,0.870968,27,0.111111,4,0.888889,0.888889,0.888889,0.759857,0.966398,0.97086,0.880597,0.12074,0.87926,0.119403,0.880597,0.880597,0.880597,0.759857,0.966398,0.96347,0.879928,0.880597,0.016,0,0.015625,0,15.625,0,4301,48356,6853,100,88.059701,?
