@relation InstanceResultListener

@attribute Key_Dataset {dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.1 -M 2','-C 0.2 -M 2','-C 0.3 -M 2','-C 0.4 -M 2','-C 0.5 -M 2','-U -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 74\nSize of the tree: 147\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 16\nSize of the tree: 31\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,51,30,0,62.962963,37.037037,0,0.269832,0.415187,0.507546,83.38431,101.701507,80.779108,4365.055267,-4284.276159,0.997273,53.889571,-52.892298,14.562486,0.179784,1461.040001,0.763158,29,0.488372,21,0.511628,22,0.236842,9,0.58,0.763158,0.659091,0.282133,0.667075,0.580684,0.62963,0.354844,0.645156,0.37037,0.648841,0.62963,0.624852,0.282133,0.667075,0.628384,0.626843,0.62963,0.065,0.002,0.078125,0,78.125,0,10542,138961,17245,95.061728,93.209877,'Number of leaves: 20\nSize of the tree: 39\n',39,20,20
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,54,27,0,66.666667,33.333333,0,0.343834,0.406287,0.49353,81.596813,98.893042,80.779108,4361.739638,-4280.96053,0.997273,53.848638,-52.851365,16.293669,0.201156,1634.727896,0.815789,31,0.465116,20,0.534884,23,0.184211,7,0.607843,0.815789,0.696629,0.362396,0.649327,0.570962,0.666667,0.315993,0.684007,0.333333,0.692157,0.666667,0.661331,0.362396,0.649327,0.615019,0.663383,0.666667,0.038,0.001,0.046875,0,46.875,0,12362,138961,17245,95.061728,91.975309,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,51,30,0,62.962963,37.037037,0,0.256426,0.388393,0.519068,78.003198,104.010346,80.779108,4368.468251,-4287.689143,0.997273,53.931707,-52.934434,18.320325,0.226177,1838.060227,0.605263,23,0.348837,15,0.651163,28,0.394737,15,0.605263,0.605263,0.605263,0.256426,0.690024,0.623844,0.62963,0.373204,0.626796,0.37037,0.62963,0.62963,0.62963,0.256426,0.690024,0.660445,0.628213,0.62963,0.035,0,0.03125,0,31.25,0,18186,138961,17245,95.061728,88.888889,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,56,25,0,69.135802,30.864198,0,0.379405,0.320599,0.477453,64.387751,95.671473,80.779108,6495.76792,-6414.988812,0.997273,80.194666,-79.197393,29.278769,0.361466,2937.510244,0.657895,25,0.27907,12,0.72093,31,0.342105,13,0.675676,0.657895,0.666667,0.379522,0.772032,0.676228,0.691358,0.312533,0.687467,0.308642,0.691002,0.691358,0.691074,0.379522,0.772032,0.743189,0.689655,0.691358,0.046,0,0.046875,0,46.875,0,19642,138961,17245,92.592593,82.716049,'Number of leaves: 45\nSize of the tree: 89\n',89,45,45
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,47,34,0,58.024691,41.975309,0,0.164948,0.440472,0.565333,88.462546,113.28089,80.779108,6525.224331,-6444.445223,0.997273,80.558325,-79.561052,9.786247,0.120818,981.844608,0.631579,24,0.465116,20,0.534884,23,0.368421,14,0.545455,0.631579,0.585366,0.166769,0.593023,0.511716,0.580247,0.413784,0.586216,0.419753,0.585889,0.580247,0.579863,0.166769,0.593023,0.577865,0.580183,0.580247,0.041,0,0.046875,0,46.875,0,17822,138961,17245,92.592593,89.506173,'Number of leaves: 40\nSize of the tree: 79\n',79,40,40
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,52,29,0,64.197531,35.802469,0,0.28231,0.391162,0.50714,78.559328,101.620074,80.779108,6506.775832,-6425.996724,0.997273,80.330566,-79.333293,18.60194,0.229654,1866.314387,0.631579,24,0.348837,15,0.651163,28,0.368421,14,0.615385,0.631579,0.623377,0.282396,0.671665,0.587688,0.641975,0.359234,0.640766,0.358025,0.642608,0.641975,0.642194,0.282396,0.671665,0.63598,0.6411,0.641975,0.027,0,0.03125,0,31.25,0,20370,138961,17245,91.358025,89.506173,'Number of leaves: 47\nSize of the tree: 93\n',93,47,47
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,726,80,56,24,0,70,30,0,0.403356,0.344495,0.515983,69.241474,103.483867,79.679854,8652.031251,-8572.351397,0.995998,108.150391,-107.154392,25.350147,0.316877,2542.995128,0.756757,28,0.348837,15,0.651163,28,0.243243,9,0.651163,0.756757,0.7,0.40792,0.700189,0.630116,0.7,0.29208,0.70792,0.3,0.70792,0.7,0.7,0.40792,0.700189,0.672661,0.7,0.7,0.028,0,0.03125,0,31.25,0,24374,139150,17056,88.75,78.75,'Number of leaves: 58\nSize of the tree: 115\n',115,58,58
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,726,80,51,29,0,63.75,36.25,0,0.283066,0.412157,0.518977,82.841071,104.084256,79.679854,7579.330823,-7499.650969,0.995998,94.741635,-93.745637,15.017946,0.187724,1506.522383,0.72973,27,0.44186,19,0.55814,24,0.27027,10,0.586957,0.72973,0.650602,0.290343,0.640478,0.549872,0.6375,0.349631,0.650369,0.3625,0.650879,0.6375,0.635969,0.290343,0.640478,0.603971,0.63699,0.6375,0.019,0.001,0.015625,0,15.625,0,16002,139150,17056,91.25,91.875,'Number of leaves: 35\nSize of the tree: 69\n',69,35,35
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,726,80,54,26,0,67.5,32.5,0,0.356037,0.390855,0.478246,78.55954,95.915463,79.679854,1146.042171,-1066.362316,0.995998,14.325527,-13.329529,18.47925,0.230991,1853.742381,0.756757,28,0.395349,17,0.604651,26,0.243243,9,0.622222,0.756757,0.682927,0.363239,0.700189,0.595166,0.675,0.313592,0.686408,0.325,0.687063,0.675,0.674187,0.363239,0.700189,0.682742,0.674797,0.675,0.021,0,0.03125,0,31.25,0,14182,139150,17056,97.5,92.5,'Number of leaves: 30\nSize of the tree: 59\n',59,30,30
