@relation InstanceResultListener

@attribute Key_Dataset {dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.1 -M 0.01 -G 200.0 -N 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.25 -M 0.01 -G 200.0 -N 0.0'}
@attribute Key_Scheme_version_ID {-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,725,81,45,36,0,55.555556,44.444444,0,0.136767,0.46747,0.49924,93.884665,100.037223,80.779108,81.652402,-0.873294,0.997273,1.008054,-0.010781,5.37283,0.066331,539.050814,0.815789,31,0.674419,29,0.325581,14,0.184211,7,0.516667,0.815789,0.632653,0.160991,0.573133,0.50937,0.555556,0.414185,0.585815,0.444444,0.596296,0.555556,0.529053,0.160991,0.573133,0.54748,0.535077,0.555556,0.331,0.005,0.3125,0,312.5,0,92040,138961,17245,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,725,81,48,33,0,59.259259,40.740741,0,0.200419,0.439366,0.472906,88.240284,94.760296,80.779108,73.512493,7.266615,0.997273,0.907562,0.089711,10.276406,0.126869,1031.021798,0.763158,29,0.55814,24,0.44186,19,0.236842,9,0.54717,0.763158,0.637363,0.21513,0.669217,0.585023,0.592593,0.387574,0.612426,0.407407,0.616926,0.592593,0.583134,0.21513,0.669217,0.657816,0.586287,0.592593,0.263,0.006,0.265625,0,265.625,0,134459,138961,17245,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,725,81,53,28,0,65.432099,34.567901,0,0.328597,0.444416,0.46443,89.25448,93.061996,80.779108,72.417348,8.36176,0.997273,0.894041,0.103232,10.219705,0.126169,1025.332972,0.921053,35,0.581395,25,0.418605,18,0.078947,3,0.583333,0.921053,0.714286,0.386796,0.669217,0.576326,0.654321,0.314664,0.685336,0.345679,0.728689,0.654321,0.633708,0.386796,0.669217,0.622971,0.638393,0.654321,0.188,0.01,0.1875,0.015625,187.5,15.625,66336,138961,17245,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,725,81,52,29,0,64.197531,35.802469,0,0.311749,0.450538,0.463941,90.483978,92.964039,80.779108,72.325672,8.453436,0.997273,0.89291,0.104363,9.25614,0.114273,928.659505,1,38,0.674419,29,0.325581,14,0,0,0.567164,1,0.72381,0.429719,0.662791,0.567164,0.641975,0.316394,0.683606,0.358025,0.796941,0.641975,0.60034,0.429719,0.662791,0.628979,0.607519,0.641975,0.136,0.004,0.125,0,125,0,40632,138961,17245,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,725,81,47,34,0,58.024691,41.975309,0,0.184725,0.456293,0.486405,91.639881,97.465354,80.779108,77.80619,2.972918,0.997273,0.96057,0.036703,7.430072,0.091729,745.451866,0.842105,32,0.651163,28,0.348837,15,0.157895,6,0.533333,0.842105,0.653061,0.217442,0.602815,0.52691,0.580247,0.389304,0.610696,0.419753,0.629394,0.580247,0.555217,0.217442,0.602815,0.57395,0.560906,0.580247,0.131,0.002,0.125,0,125,0,74904,138961,17245,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,725,81,47,34,0,58.024691,41.975309,0,0.187131,0.455678,0.479336,91.516263,96.048844,80.779108,75.9662,4.812908,0.997273,0.937854,0.059419,7.768371,0.095906,779.393033,0.868421,33,0.674419,29,0.325581,14,0.131579,5,0.532258,0.868421,0.66,0.228487,0.614443,0.536791,0.580247,0.386244,0.613756,0.419753,0.640864,0.580247,0.549375,0.228487,0.614443,0.583951,0.555806,0.580247,0.138,0.003,0.109375,0.015625,109.375,15.625,83472,138961,17245,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,726,80,46,34,0,57.5,42.5,0,0.18806,0.462887,0.486947,93.037387,97.660454,79.679854,77.144047,2.535807,0.995998,0.964301,0.031698,6.110843,0.076386,613.007998,0.918919,34,0.72093,31,0.27907,12,0.081081,3,0.523077,0.918919,0.666667,0.252914,0.586424,0.511519,0.575,0.377011,0.622989,0.425,0.671923,0.575,0.530747,0.252914,0.586424,0.558849,0.54023,0.575,0.12,0.003,0.109375,0.015625,109.375,15.625,92040,139150,17056,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,726,80,50,30,0,62.5,37.5,0,0.273168,0.437185,0.469744,87.871457,94.210176,79.679854,72.597844,7.08201,0.995998,0.907473,0.088525,10.770753,0.134634,1080.466049,0.864865,32,0.581395,25,0.418605,18,0.135135,5,0.561404,0.864865,0.680851,0.312277,0.660905,0.562141,0.625,0.34153,0.65847,0.375,0.680301,0.625,0.608075,0.312277,0.660905,0.621543,0.613153,0.625,0.137,0.004,0.125,0.015625,125,15.625,92040,139150,17056,100,100,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.01 -M 0.01 -G 200.0 -N 0.0',-1178107808933117974,20170205.1806,726,80,52,28,0,65,35,0,0.321623,0.456653,0.466932,91.784505,93.646265,79.679854,72.256763,7.423092,0.995998,0.90321,0.092789,7.956418,0.099455,798.146502,0.891892,33,0.55814,24,0.44186,19,0.108108,4,0.578947,0.891892,0.702128,0.36767,0.684475,0.58427,0.65,0.316248,0.683752,0.35,0.711785,0.65,0.634204,0.36767,0.684475,0.645224,0.638943,0.65,0.063,0.001,0.0625,0,62.5,0,83057,139150,17056,100,100,?
