@relation InstanceResultListener

@attribute Key_Dataset {Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.1 -M 2','-C 0.2 -M 2','-C 0.3 -M 2','-C 0.4 -M 2','-C 0.5 -M 2','-U -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 8\nSize of the tree: 11\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 9\nSize of the tree: 13\n','Number of leaves: 13\nSize of the tree: 18\n','Number of leaves: 18\nSize of the tree: 24\n','Number of leaves: 12\nSize of the tree: 16\n','Number of leaves: 14\nSize of the tree: 20\n','Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 18\nSize of the tree: 25\n','Number of leaves: 22\nSize of the tree: 30\n','Number of leaves: 16\nSize of the tree: 21\n','Number of leaves: 15\nSize of the tree: 22\n','Number of leaves: 17\nSize of the tree: 23\n','Number of leaves: 7\nSize of the tree: 10\n','Number of leaves: 22\nSize of the tree: 29\n','Number of leaves: 28\nSize of the tree: 38\n','Number of leaves: 20\nSize of the tree: 29\n','Number of leaves: 19\nSize of the tree: 27\n','Number of leaves: 19\nSize of the tree: 26\n','Number of leaves: 33\nSize of the tree: 45\n','Number of leaves: 42\nSize of the tree: 56\n','Number of leaves: 36\nSize of the tree: 48\n','Number of leaves: 21\nSize of the tree: 27\n','Number of leaves: 41\nSize of the tree: 55\n','Number of leaves: 35\nSize of the tree: 49\n','Number of leaves: 31\nSize of the tree: 41\n','Number of leaves: 29\nSize of the tree: 37\n','Number of leaves: 35\nSize of the tree: 46\n','Number of leaves: 40\nSize of the tree: 53\n','Number of leaves: 27\nSize of the tree: 36\n','Number of leaves: 38\nSize of the tree: 52\n','Number of leaves: 36\nSize of the tree: 45\n','Number of leaves: 41\nSize of the tree: 54\n','Number of leaves: 52\nSize of the tree: 69\n','Number of leaves: 50\nSize of the tree: 69\n','Number of leaves: 34\nSize of the tree: 44\n','Number of leaves: 30\nSize of the tree: 39\n','Number of leaves: 26\nSize of the tree: 33\n','Number of leaves: 45\nSize of the tree: 62\n','Number of leaves: 38\nSize of the tree: 49\n','Number of leaves: 33\nSize of the tree: 44\n','Number of leaves: 37\nSize of the tree: 50\n','Number of leaves: 39\nSize of the tree: 51\n','Number of leaves: 32\nSize of the tree: 43\n','Number of leaves: 26\nSize of the tree: 34\n','Number of leaves: 27\nSize of the tree: 35\n','Number of leaves: 46\nSize of the tree: 61\n','Number of leaves: 41\nSize of the tree: 58\n','Number of leaves: 42\nSize of the tree: 59\n','Number of leaves: 48\nSize of the tree: 65\n','Number of leaves: 35\nSize of the tree: 47\n','Number of leaves: 39\nSize of the tree: 54\n','Number of leaves: 32\nSize of the tree: 41\n','Number of leaves: 33\nSize of the tree: 46\n','Number of leaves: 43\nSize of the tree: 58\n','Number of leaves: 34\nSize of the tree: 45\n','Number of leaves: 29\nSize of the tree: 40\n','Number of leaves: 39\nSize of the tree: 53\n','Number of leaves: 30\nSize of the tree: 42\n','Number of leaves: 21\nSize of the tree: 28\n','Number of leaves: 55\nSize of the tree: 75\n','Number of leaves: 36\nSize of the tree: 51\n','Number of leaves: 40\nSize of the tree: 55\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,605,68,54,14,0,79.411765,20.588235,0,0.582822,0.270529,0.394061,54.525856,79.120837,67.617655,47.879429,19.738225,0.994377,0.704109,0.290268,32.823409,0.482697,3300.515021,0.837838,31,0.258065,8,0.741935,23,0.162162,6,0.794872,0.837838,0.815789,0.58386,0.839146,0.826799,0.794118,0.214344,0.785656,0.205882,0.794066,0.794118,0.793395,0.58386,0.839146,0.796935,0.791228,0.794118,0.026,0,0.015625,0,15.625,0,5156,48279,6930,100,100,'Number of leaves: 8\nSize of the tree: 11\n',11,8,8
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,605,68,55,13,0,80.882353,19.117647,0,0.613636,0.293604,0.395091,59.176702,79.327519,67.617655,48.407282,19.210373,0.994377,0.711872,0.282505,30.467246,0.448048,3063.594129,0.837838,31,0.225806,7,0.774194,24,0.162162,6,0.815789,0.837838,0.826667,0.613908,0.806016,0.771735,0.808824,0.196792,0.803208,0.191176,0.808591,0.808824,0.808531,0.613908,0.806016,0.749196,0.806776,0.808824,0.013,0,0.015625,0,15.625,0,3748,48279,6930,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,605,68,58,10,0,85.294118,14.705882,0,0.698849,0.240421,0.357218,48.457441,71.723309,67.617655,42.199797,25.417858,0.994377,0.620585,0.373792,37.554806,0.552277,3776.274522,0.945946,35,0.258065,8,0.741935,23,0.054054,2,0.813953,0.945946,0.875,0.710544,0.865737,0.832823,0.852941,0.16506,0.83494,0.147059,0.862298,0.852941,0.850578,0.710544,0.865737,0.834486,0.848214,0.852941,0.014,0,0.015625,0,15.625,0,5156,48279,6930,100,100,'Number of leaves: 8\nSize of the tree: 11\n',11,8,8
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,57,10,0,85.074627,14.925373,0,0.696283,0.245471,0.356541,49.53676,71.68755,66.488989,41.576842,24.912147,0.992373,0.62055,0.371823,36.271285,0.541362,3646.392089,0.891892,33,0.2,6,0.8,24,0.108108,4,0.846154,0.891892,0.868421,0.697571,0.863964,0.859405,0.850746,0.158854,0.841146,0.149254,0.851074,0.850746,0.850137,0.697571,0.863964,0.837655,0.848004,0.850746,0.011,0,0,0,0,0,5156,48356,6853,98.507463,99.253731,'Number of leaves: 8\nSize of the tree: 11\n',11,8,8
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,55,12,0,82.089552,17.910448,0,0.630854,0.287,0.382248,57.917515,76.85637,66.488989,45.116685,21.372304,0.992373,0.673383,0.31899,30.93257,0.46168,3109.685264,0.918919,34,0.3,9,0.7,21,0.081081,3,0.790698,0.918919,0.85,0.641882,0.809459,0.771363,0.820896,0.201977,0.798023,0.179104,0.828445,0.820896,0.817662,0.641882,0.809459,0.760377,0.813889,0.820896,0.007,0,0,0,0,0,3748,48356,6853,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,54,13,0,80.597015,19.402985,0,0.608891,0.268886,0.387301,54.261965,77.872344,66.488989,45.887018,20.601972,0.992373,0.684881,0.307492,32.595959,0.486507,3276.907537,0.810811,30,0.2,6,0.8,24,0.189189,7,0.833333,0.810811,0.821918,0.609167,0.857207,0.858151,0.80597,0.195159,0.804841,0.19403,0.806853,0.80597,0.806232,0.609167,0.857207,0.833155,0.804402,0.80597,0.029,0.001,0.015625,0,15.625,0,5520,48356,6853,100,100,'Number of leaves: 9\nSize of the tree: 13\n',13,9,9
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,60,7,0,89.552239,10.447761,0,0.788453,0.246241,0.316987,49.57671,63.568297,66.74039,34.586188,32.154201,0.996125,0.516212,0.479913,37.43491,0.55873,3764.942405,0.944444,34,0.16129,5,0.83871,26,0.055556,2,0.871795,0.944444,0.906667,0.791713,0.889337,0.85012,0.895522,0.112368,0.887632,0.104478,0.898065,0.895522,0.894956,0.791713,0.889337,0.851651,0.894011,0.895522,0.011,0,0.015625,0,15.625,0,3748,48356,6853,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,55,12,0,82.089552,17.910448,0,0.641392,0.263692,0.376108,53.090301,75.424398,66.74039,43.39224,23.348149,0.996125,0.647645,0.34848,33.74307,0.503628,3393.642842,0.805556,29,0.16129,5,0.83871,26,0.194444,7,0.852941,0.805556,0.828571,0.64254,0.861559,0.860692,0.820896,0.17663,0.82337,0.179104,0.822838,0.820896,0.821135,0.64254,0.861559,0.820975,0.820536,0.820896,0.007,0,0,0,0,0,5156,48356,6853,100,100,'Number of leaves: 8\nSize of the tree: 11\n',11,8,8
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,59,8,0,88.059701,11.940299,0,0.759857,0.250952,0.329775,50.525202,66.132684,66.74039,36.633415,30.106975,0.996125,0.546767,0.449358,36.66594,0.547253,3687.604725,0.888889,32,0.129032,4,0.870968,27,0.111111,4,0.888889,0.888889,0.888889,0.759857,0.879928,0.849825,0.880597,0.12074,0.87926,0.119403,0.880597,0.880597,0.880597,0.759857,0.879928,0.835232,0.879928,0.880597,0.01,0.001,0.015625,0,15.625,0,3748,48356,6853,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
