@relation InstanceResultListener

@attribute Key_Dataset {data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 25 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 50 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 1 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 25 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 50 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,96,0,0,100,0,0,1,0.001137,0.001141,0.351386,0.286319,68.945233,0.157523,68.787709,0.71818,0.001641,0.716539,68.787709,0.716539,9328.953629,1,77,0,0,1,19,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.026,0,0.015625,0,15.625,62575,60970,7978,100,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,96,0,0,100,0,0,1,0.001119,0.001129,0.345812,0.283378,68.945233,0.155024,68.790208,0.71818,0.001615,0.716565,68.790208,0.716565,9329.29256,1,77,0,0,1,19,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.016,0,0.015625,0,15.625,62575,60970,7978,100,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,96,0,0,100,0,0,1,0.001131,0.001137,0.343777,0.279859,70.876475,0.156691,70.719784,0.738297,0.001632,0.736664,70.719784,0.736664,9620.136702,1,76,0,0,1,20,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.007,0,0,0,0,62575,60970,7978,100,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,96,0,0,100,0,0,1,0.001131,0.001137,0.343777,0.279859,70.876475,0.156691,70.719784,0.738297,0.001632,0.736664,70.719784,0.736664,9620.136702,1,76,0,0,1,20,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.009,0,0,0,0,62575,60970,7978,100,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,96,0,0,100,0,0,1,0.001124,0.001134,0.341642,0.279157,70.876475,0.155718,70.720757,0.738297,0.001622,0.736675,70.720757,0.736675,9620.269019,1,76,0,0,1,20,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.011,0,0.015625,0,15.625,62575,60970,7978,100,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,96,0,0,100,0,0,1,0.001135,0.00114,0.344993,0.280776,70.876475,0.157246,70.71923,0.738297,0.001638,0.736659,70.71923,0.736659,9620.061228,1,76,0,0,1,20,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.004,0,0,0,0,62575,60970,7978,100,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,96,0,0,100,0,0,1,0.001138,0.001144,0.345905,0.281617,70.876475,0.157661,70.718814,0.738297,0.001642,0.736654,70.718814,0.736654,9620.004663,1,76,0,0,1,20,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.005,0,0,0,0,62575,60970,7978,100,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,95,1,0,98.958333,1.041667,0,0.968992,0.011516,0.10195,3.501385,25.103546,70.876475,9.912274,60.964201,0.738297,0.103253,0.635044,68.115626,0.709538,9265.888523,0.986842,75,0,0,1,20,0.013158,1,1,0.986842,0.993377,0.969458,0.993421,0.997259,0.989583,0.002741,0.997259,0.010417,0.990079,0.989583,0.989676,0.969458,0.993421,0.987909,0.984494,0.989583,0,0.01,0,0.015625,0,15.625,62575,60970,7978,98.958333,50,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170203.2204,864,96,95,1,0,98.958333,1.041667,0,0.968992,0.011525,0.101951,3.504126,25.103562,70.876475,9.913524,60.962951,0.738297,0.103266,0.635031,68.114377,0.709525,9265.718534,0.986842,75,0,0,1,20,0.013158,1,1,0.986842,0.993377,0.969458,0.993421,0.997259,0.989583,0.002741,0.997259,0.010417,0.990079,0.989583,0.989676,0.969458,0.993421,0.987909,0.984494,0.989583,0,0.006,0,0,0,0,62575,60970,7978,98.958333,50,?
