@relation InstanceResultListener

@attribute Key_Dataset {Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 25 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 50 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 1 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 25 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 50 -W 0 -I -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,605,68,53,15,0,77.941176,22.058824,0,0.54947,0.200053,0.4145,40.3213,83.224471,67.617655,101.608521,-33.990866,0.994377,1.494243,-0.499866,40.407637,0.59423,4063.137155,0.864865,32,0.322581,10,0.677419,21,0.135135,5,0.761905,0.864865,0.810127,0.555773,0.841325,0.830173,0.779412,0.237128,0.762872,0.220588,0.782778,0.779412,0.776717,0.555773,0.841325,0.814024,0.773484,0.779412,0,0.031,0,0.03125,0,31.25,49920,48279,6930,85.294118,55.882353,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,605,68,49,19,0,72.058824,27.941176,0,0.438261,0.27192,0.497264,54.806241,99.842225,67.617655,153.828554,-86.210899,0.994377,2.262185,-1.267807,30.453494,0.447846,3062.211352,0.72973,27,0.290323,9,0.709677,22,0.27027,10,0.75,0.72973,0.739726,0.438453,0.749782,0.780685,0.720588,0.281181,0.718819,0.279412,0.721507,0.720588,0.720892,0.438453,0.749782,0.711057,0.719069,0.720588,0,0.006,0,0,0,0,49920,48279,6930,77.941176,55.147059,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,605,68,49,19,0,72.058824,27.941176,0,0.429329,0.314694,0.533479,63.42745,107.113522,67.617655,172.860782,-105.243127,0.994377,2.54207,-1.547693,24.987777,0.367467,2512.61334,0.810811,30,0.387097,12,0.612903,19,0.189189,7,0.714286,0.810811,0.759494,0.434253,0.753269,0.754476,0.720588,0.296874,0.703126,0.279412,0.7218,0.720588,0.717175,0.434253,0.753269,0.732829,0.71308,0.720588,0,0.008,0,0.015625,0,15.625,49928,48279,6930,73.529412,56.617647,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,606,67,46,21,0,68.656716,31.343284,0,0.364211,0.306455,0.525968,61.843647,105.753211,66.488989,168.626872,-102.137883,0.992373,2.516819,-1.524446,25.496136,0.380539,2563.154608,0.72973,27,0.366667,11,0.633333,19,0.27027,10,0.710526,0.72973,0.72,0.364379,0.733333,0.757037,0.686567,0.323504,0.676496,0.313433,0.685741,0.686567,0.686001,0.364379,0.733333,0.695163,0.682034,0.686567,0,0.005,0,0,0,0,49997,48356,6853,74.626866,55.970149,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,606,67,52,15,0,77.61194,22.38806,0,0.53708,0.222194,0.446087,44.839421,89.692035,66.488989,124.397917,-57.908927,0.992373,1.856685,-0.864312,36.678152,0.547435,3687.294876,0.891892,33,0.366667,11,0.633333,19,0.108108,4,0.75,0.891892,0.814815,0.550069,0.768468,0.734853,0.776119,0.250894,0.749106,0.223881,0.784069,0.776119,0.771009,0.550069,0.768468,0.723011,0.765898,0.776119,0,0.006,0,0.015625,0,15.625,49997,48356,6853,82.089552,54.477612,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,606,67,46,21,0,68.656716,31.343284,0,0.364211,0.326202,0.536833,65.828583,107.937824,66.488989,169.109662,-102.620673,0.992373,2.524025,-1.531652,22.819164,0.340585,2294.035629,0.72973,27,0.366667,11,0.633333,19,0.27027,10,0.710526,0.72973,0.72,0.364379,0.747748,0.75831,0.686567,0.323504,0.676496,0.313433,0.685741,0.686567,0.686001,0.364379,0.748958,0.72518,0.682034,0.686567,0,0.004,0,0,0,0,49997,48356,6853,74.626866,58.208955,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,606,67,50,17,0,74.626866,25.373134,0,0.48855,0.231068,0.452,46.521916,90.643613,66.74039,121.965872,-55.225482,0.996125,1.820386,-0.824261,35.662761,0.53228,3586.711961,0.777778,28,0.290323,9,0.709677,22,0.222222,8,0.756757,0.777778,0.767123,0.488771,0.800627,0.80537,0.746269,0.258813,0.741187,0.253731,0.745919,0.746269,0.745927,0.488771,0.800627,0.76724,0.744217,0.746269,0,0.007,0,0.015625,0,15.625,49997,48356,6853,82.089552,55.223881,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,606,67,52,15,0,77.61194,22.38806,0,0.550738,0.238218,0.458051,47.961533,91.857004,66.74039,123.391669,-56.651279,0.996125,1.841667,-0.845541,34.739072,0.518494,3493.81382,0.777778,28,0.225806,7,0.774194,24,0.222222,8,0.8,0.777778,0.788732,0.550985,0.807796,0.809506,0.776119,0.224148,0.775852,0.223881,0.776866,0.776119,0.77632,0.550985,0.807796,0.781361,0.775319,0.776119,0,0.003,0,0,0,0,49997,48356,6853,82.089552,55.970149,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170204.0656,606,67,50,17,0,74.626866,25.373134,0,0.483915,0.25215,0.468637,50.766406,93.980047,66.74039,128.882772,-62.142382,0.996125,1.923623,-0.927498,33.106134,0.494121,3329.584277,0.833333,30,0.354839,11,0.645161,20,0.166667,6,0.731707,0.833333,0.779221,0.489588,0.826613,0.825459,0.746269,0.267774,0.732226,0.253731,0.749069,0.746269,0.743378,0.489588,0.826613,0.797096,0.740488,0.746269,0,0.005,0,0.015625,0,15.625,49997,48356,6853,80.597015,57.462687,?
