@relation InstanceResultListener

@attribute Key_Dataset {data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 50','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 50','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 50','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 50'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,314,6,0,98.125,1.875,0,0.94337,0.0163,0.088692,4.970158,21.920206,234.962246,12.445084,222.517162,0.734257,0.038891,0.695366,221.927368,0.693523,30151.991421,0.984252,250,0.030303,2,0.969697,64,0.015748,4,0.992063,0.984252,0.988142,0.943538,0.999344,0.99983,0.98125,0.027301,0.972699,0.01875,0.981568,0.98125,0.981353,0.943538,0.999344,0.999384,0.971683,0.98125,0.239,0,0.21875,0,218.75,0,9162,45514,23434,99.6875,51.5625,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,318,2,0,99.375,0.625,0,0.980695,0.017988,0.075013,5.484925,18.539532,234.962246,10.686249,224.275997,0.734257,0.033395,0.700862,223.471874,0.69835,30361.83465,1,254,0.030303,2,0.969697,64,0,0,0.992188,1,0.996078,0.980878,0.999761,0.999938,0.99375,0.024053,0.975947,0.00625,0.993799,0.99375,0.993714,0.980878,0.999761,0.999768,0.990347,0.99375,0.163,0,0.15625,0,156.25,0,9162,45514,23434,100,52.8125,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,315,5,0,98.4375,1.5625,0,0.950902,0.021276,0.108423,6.487457,26.796758,234.962246,17.593496,217.36875,0.734257,0.05498,0.679277,219.097529,0.68468,29767.517499,1,254,0.075758,5,0.924242,61,0,0,0.980695,1,0.990253,0.95205,0.999225,0.9998,0.984375,0.060133,0.939867,0.015625,0.984677,0.984375,0.984144,0.95205,0.999225,0.999257,0.975442,0.984375,0.189,0.001,0.1875,0.015625,187.5,15.625,9162,45514,23434,99.6875,52.1875,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,318,2,0,99.375,0.625,0,0.980695,0.013615,0.070371,4.151562,17.392187,234.962246,8.317311,226.644935,0.734257,0.025992,0.708265,225.327514,0.704148,30613.949701,1,254,0.030303,2,0.969697,64,0,0,0.992188,1,0.996078,0.980878,0.999821,0.999953,0.99375,0.024053,0.975947,0.00625,0.993799,0.99375,0.993714,0.980878,0.999821,0.999827,0.990347,0.99375,0.157,0.001,0.15625,0,156.25,0,9162,45514,23434,100,51.71875,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,316,4,0,98.75,1.25,0,0.960947,0.015496,0.088276,4.725063,21.817444,234.962246,11.989213,222.973033,0.734257,0.037466,0.696791,224.253983,0.700794,30468.095211,1,254,0.060606,4,0.939394,62,0,0,0.984496,1,0.992188,0.961681,0.999642,0.999907,0.9875,0.048106,0.951894,0.0125,0.987694,0.9875,0.987354,0.961681,0.999642,0.999653,0.980469,0.9875,0.126,0.001,0.125,0,125,0,9162,45514,23434,100,51.875,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,319,1,0,99.6875,0.3125,0,0.990402,0.021629,0.080844,6.595079,19.980597,234.962246,14.133741,220.828505,0.734257,0.044168,0.690089,220.231466,0.688223,29921.578984,1,254,0.015152,1,0.984848,65,0,0,0.996078,1,0.998035,0.990448,0.999225,0.999795,0.996875,0.012027,0.987973,0.003125,0.996887,0.996875,0.996866,0.990448,0.999225,0.999323,0.995201,0.996875,0.131,0,0.125,0,125,0,9162,45514,23434,99.6875,53.75,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,3,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,317,3,0,99.0625,0.9375,0,0.971206,0.014382,0.067518,4.385305,16.687032,234.962246,8.276205,226.686041,0.734257,0.025863,0.708394,224.7203,0.702251,30531.451045,0.996063,253,0.030303,2,0.969697,64,0.003937,1,0.992157,0.996063,0.994106,0.97125,0.999881,0.999969,0.990625,0.024865,0.975135,0.009375,0.990601,0.990625,0.990598,0.97125,0.999881,0.999882,0.985603,0.990625,0.172,0.001,0.171875,0,171.875,0,9162,45514,23434,100,51.875,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,3,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,318,2,0,99.375,0.625,0,0.980695,0.019062,0.087188,5.812228,21.548418,234.962246,12.209707,222.752539,0.734257,0.038155,0.696102,220.740105,0.689813,29990.684894,1,254,0.030303,2,0.969697,64,0,0,0.992188,1,0.996078,0.980878,0.999403,0.999845,0.99375,0.024053,0.975947,0.00625,0.993799,0.99375,0.993714,0.980878,0.999403,0.999435,0.990347,0.99375,0.166,0,0.15625,0,156.25,0,9162,45514,23434,100,52.8125,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,3,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,318,2,0,99.375,0.625,0,0.980695,0.014297,0.07417,4.359397,18.331097,234.962246,11.378799,223.583448,0.734257,0.035559,0.698698,225.523528,0.704761,30640.580948,1,254,0.030303,2,0.969697,64,0,0,0.992188,1,0.996078,0.980878,0.999523,0.999875,0.99375,0.024053,0.975947,0.00625,0.993799,0.99375,0.993714,0.980878,0.999523,0.999563,0.990347,0.99375,0.126,0,0.125,0,125,0,9162,45514,23434,99.6875,52.03125,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,4,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,320,0,0,100,0,0,1,0.012664,0.043709,3.86141,10.802697,234.962246,6.385723,228.576524,0.734257,0.019955,0.714302,228.196798,0.713115,31003.782799,1,254,0,0,1,66,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.131,0,0.140625,0,140.625,0,9162,45514,23434,100,52.65625,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,4,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,315,5,0,98.4375,1.5625,0,0.95201,0.021399,0.097763,6.524897,24.162176,234.962246,15.277118,219.685128,0.734257,0.047741,0.686516,217.742417,0.680445,29583.406365,0.992126,252,0.045455,3,0.954545,63,0.007874,2,0.988235,0.992126,0.990177,0.952053,0.998867,0.999704,0.984375,0.037704,0.962296,0.015625,0.984316,0.984375,0.984331,0.952053,0.998867,0.99896,0.976004,0.984375,0.132,0,0.125,0,125,0,9162,45514,23434,100,52.34375,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,4,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,315,5,0,98.4375,1.5625,0,0.950902,0.022516,0.119504,6.865559,29.535472,234.962246,25.34122,209.621027,0.734257,0.079191,0.655066,218.195847,0.681862,29645.011228,1,254,0.075758,5,0.924242,61,0,0,0.980695,1,0.990253,0.95205,0.998568,0.99963,0.984375,0.060133,0.939867,0.015625,0.984677,0.984375,0.984144,0.95205,0.998568,0.99864,0.975442,0.984375,0.116,0,0.125,0,125,0,9162,45514,23434,99.375,52.03125,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,5,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,315,5,0,98.4375,1.5625,0,0.950902,0.020843,0.121723,6.355372,30.083743,234.962246,27.82537,207.136876,0.734257,0.086954,0.647303,219.343141,0.685447,29800.887469,1,254,0.075758,5,0.924242,61,0,0,0.980695,1,0.990253,0.95205,0.99833,0.99957,0.984375,0.060133,0.939867,0.015625,0.984677,0.984375,0.984144,0.95205,0.99833,0.998413,0.975442,0.984375,0.118,0,0.125,0,125,0,9162,45514,23434,99.0625,51.5625,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,5,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,319,1,0,99.6875,0.3125,0,0.990509,0.017406,0.058378,5.307396,14.428205,234.962246,9.092312,225.869935,0.734257,0.028413,0.705844,224.328709,0.701027,30478.247863,0.996063,253,0,0,1,66,0.003937,1,1,0.996063,0.998028,0.990554,1,1,0.996875,0.000812,0.999188,0.003125,0.996922,0.996875,0.996884,0.990554,1,1,0.995254,0.996875,0.116,0,0.109375,0,109.375,0,9162,45514,23434,100,52.5,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,5,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,314,6,0,98.125,1.875,0,0.94337,0.018234,0.091898,5.559913,22.712626,234.962246,12.518784,222.443462,0.734257,0.039121,0.695136,220.291101,0.68841,29929.681241,0.984252,250,0.030303,2,0.969697,64,0.015748,4,0.992063,0.984252,0.988142,0.943538,0.999284,0.999814,0.98125,0.027301,0.972699,0.01875,0.981568,0.98125,0.981353,0.943538,0.999284,0.999333,0.971683,0.98125,0.132,0,0.125,0,125,0,9162,45514,23434,100,51.875,?
data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,6,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170203.1511,640,320,319,1,0,99.6875,0.3125,0,0.990402,0.017836,0.059522,5.438571,14.710763,234.962246,9.34785,225.614397,0.734257,0.029212,0.705045,224.236,0.700738,30465.65199,1,254,0.015152,1,0.984848,65,0,0,0.996078,1,0.998035,0.990448,1,1,0.996875,0.012027,0.987973,0.003125,0.996887,0.996875,0.996866,0.990448,1,1,0.995201,0.996875,0.124,0,0.125,0,125,0,9162,45514,23434,100,52.96875,?
