@relation InstanceResultListener

@attribute Key_Dataset {Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 50','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.1 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 50','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 50','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 25','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H 50'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,448,225,187,38,0,83.111111,16.888889,0,0.662349,0.269752,0.364246,54.358452,73.109661,223.844489,139.565495,84.278994,0.994864,0.620291,0.374573,111.67849,0.496349,11231.950468,0.803279,98,0.135922,14,0.864078,89,0.196721,24,0.875,0.803279,0.837607,0.664979,0.890578,0.924778,0.831111,0.163755,0.836245,0.168889,0.834995,0.831111,0.831412,0.664979,0.890578,0.877844,0.83084,0.831111,0.155,0,0.15625,0,156.25,0,12514,36190,19019,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,191,33,0,85.267857,14.732143,0,0.701791,0.238069,0.361328,47.984329,72.555146,222.711449,140.190649,82.520801,0.994248,0.625851,0.368396,123.298084,0.550438,12396.761593,0.885246,108,0.186275,19,0.813725,83,0.114754,14,0.850394,0.885246,0.86747,0.702509,0.879581,0.862979,0.852679,0.153707,0.846293,0.147321,0.852796,0.852679,0.852307,0.702509,0.879581,0.856044,0.85082,0.852679,0.149,0,0.15625,0,156.25,0,12514,36267,18942,97.767857,87.276786,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,179,45,0,79.910714,20.089286,0,0.594007,0.278853,0.38501,56.204545,77.31049,222.711449,152.16854,70.542909,0.994248,0.679324,0.314924,104.814663,0.467923,10538.382625,0.827869,101,0.235294,24,0.764706,78,0.172131,21,0.808,0.827869,0.817814,0.594224,0.843539,0.830802,0.799107,0.206532,0.793468,0.200893,0.798838,0.799107,0.798828,0.594224,0.843539,0.822858,0.796967,0.799107,0.151,0.001,0.15625,0,156.25,0,12514,36267,18942,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,448,225,175,50,0,77.777778,22.222222,0,0.555055,0.294171,0.420199,59.279121,84.34026,223.844489,178.106074,45.738416,0.994864,0.791583,0.203282,97.754423,0.434464,9831.551579,0.762295,93,0.203883,21,0.796117,82,0.237705,29,0.815789,0.762295,0.788136,0.556467,0.825919,0.838549,0.777778,0.219366,0.780634,0.222222,0.780517,0.777778,0.778165,0.556467,0.825919,0.807587,0.777245,0.777778,0.152,0.001,0.140625,0,140.625,0,12514,36190,19019,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,183,41,0,81.696429,18.303571,0,0.63596,0.262865,0.367306,52.982103,73.755531,222.711449,141.452803,81.258646,0.994248,0.631486,0.362762,112.288569,0.501288,11289.831695,0.762295,93,0.117647,12,0.882353,90,0.237705,29,0.885714,0.762295,0.819383,0.643331,0.873192,0.84463,0.816964,0.172316,0.827684,0.183036,0.826786,0.816964,0.81715,0.643331,0.873192,0.841517,0.816931,0.816964,0.152,0,0.140625,0,140.625,0,12514,36267,18942,99.553571,98.660714,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,185,39,0,82.589286,17.410714,0,0.645857,0.249107,0.365475,50.209097,73.38784,222.711449,139.929264,82.782185,0.994248,0.624684,0.369563,118.678545,0.529815,11932.299273,0.885246,108,0.245098,25,0.754902,77,0.114754,14,0.81203,0.885246,0.847059,0.649103,0.896215,0.900448,0.825893,0.185745,0.814255,0.174107,0.827569,0.825893,0.824687,0.649103,0.896215,0.887482,0.822493,0.825893,0.146,0.001,0.15625,0,156.25,0,12514,36267,18942,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,3,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,448,225,180,45,0,80,20,0,0.596822,0.295731,0.406588,59.593561,81.608377,223.844489,167.805207,56.039282,0.994864,0.745801,0.249063,98.754692,0.43891,9932.152643,0.819672,100,0.223301,23,0.776699,80,0.180328,22,0.813008,0.819672,0.816327,0.596846,0.827272,0.851026,0.8,0.203629,0.796371,0.2,0.799872,0.8,0.79992,0.596846,0.827272,0.808781,0.798407,0.8,0.144,0,0.140625,0,140.625,0,12514,36190,19019,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,3,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,176,48,0,78.571429,21.428571,0,0.570058,0.283926,0.397632,57.227139,79.845057,222.711449,158.429087,64.282362,0.994248,0.707273,0.286975,101.880454,0.454823,10243.368475,0.778689,95,0.205882,21,0.794118,81,0.221311,27,0.818966,0.778689,0.798319,0.570883,0.852419,0.859253,0.785714,0.212908,0.787092,0.214286,0.787562,0.785714,0.786074,0.570883,0.852419,0.844156,0.784874,0.785714,0.193,0,0.1875,0,187.5,0,12514,36267,18942,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,3,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,195,29,0,87.053571,12.946429,0,0.7392,0.215025,0.324789,43.339545,65.217961,222.711449,117.150369,105.56108,0.994248,0.522993,0.471255,134.679921,0.60125,13541.12585,0.877049,107,0.137255,14,0.862745,88,0.122951,15,0.884298,0.877049,0.880658,0.73923,0.915421,0.880642,0.870536,0.130741,0.869259,0.129464,0.870669,0.870536,0.870585,0.73923,0.915421,0.899234,0.869598,0.870536,0.168,0,0.15625,0,156.25,0,12514,36267,18942,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,4,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,448,225,199,26,0,88.444444,11.555556,0,0.766877,0.217295,0.31467,43.787588,63.158911,223.844489,112.334183,111.510306,0.994864,0.499263,0.495601,135.324091,0.60144,13610.08277,0.901639,110,0.135922,14,0.864078,89,0.098361,12,0.887097,0.901639,0.894309,0.767,0.909239,0.900706,0.884444,0.118727,0.881273,0.115556,0.884392,0.884444,0.884348,0.767,0.909239,0.890443,0.883429,0.884444,0.144,0,0.140625,0,140.625,0,12514,36190,19019,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,4,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,174,50,0,77.678571,22.321429,0,0.548533,0.293278,0.411478,59.112032,82.625212,222.711449,170.007008,52.704442,0.994248,0.75896,0.235288,97.418862,0.434906,9794.786492,0.811475,99,0.264706,27,0.735294,75,0.188525,23,0.785714,0.811475,0.798387,0.548891,0.827909,0.841747,0.776786,0.230016,0.769984,0.223214,0.776421,0.776786,0.776354,0.548891,0.827909,0.803806,0.774194,0.776786,0.145,0,0.140625,0,140.625,0,12514,36267,18942,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,4,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,449,224,182,42,0,81.25,18.75,0,0.621378,0.275591,0.373842,55.546985,75.067942,222.711449,144.132529,78.57892,0.994248,0.643449,0.350799,107.711439,0.480855,10829.633322,0.836066,102,0.215686,22,0.784314,80,0.163934,20,0.822581,0.836066,0.829268,0.621479,0.880947,0.89468,0.8125,0.192121,0.807879,0.1875,0.812298,0.8125,0.812334,0.621479,0.880947,0.876299,0.810674,0.8125,0.158,0,0.15625,0,156.25,0,12514,36267,18942,100,100,?
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,5,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20170204.0519,448,225,186,39,0,82.666667,17.333333,0,0.654242,0.238191,0.357303,47.998486,71.716011,223.844489,132.841272,91.003218,0.994864,0.590406,0.404459,123.394714,0.548421,12410.297738,0.786885,96,0.126214,13,0.873786,90,0.213115,26,0.880734,0.786885,0.831169,0.658631,0.907528,0.917316,0.826667,0.165995,0.834005,0.173333,0.832726,0.826667,0.826934,0.658631,0.907528,0.895656,0.826543,0.826667,0.172,0,0.15625,0,156.25,0,12514,36190,19019,100,100,?
