@relation InstanceResultListener

@attribute Key_Dataset {dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,data_banknote_authentication-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 2.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 4.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 6.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 8.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 2.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 4.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 6.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 8.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -G 0.01 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 2.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -G 0.01 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 4.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -G 0.01 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 6.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -G 0.01 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 8.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -G 0.01 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,725,81,51,30,0,62.962963,37.037037,0,0.26319,0.37037,0.608581,74.383548,121.946713,80.779108,32220,-32139.220892,0.997273,397.777778,-396.780505,20.582044,0.254099,2064.976325,0.684211,26,0.418605,18,0.581395,25,0.315789,12,0.590909,0.684211,0.634146,0.266095,0.632803,0.552454,0.62963,0.364024,0.635976,0.37037,0.635909,0.62963,0.629291,0.266095,0.632803,0.585688,0.629573,0.62963,0.084,0,0.078125,0,78.125,0,8350,138961,17245,62.962963,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,725,81,59,22,0,72.839506,27.160494,0,0.459673,0.271605,0.521157,54.547935,104.428926,80.779108,23628,-23547.220892,0.997273,291.703704,-290.706431,36.634594,0.452279,3675.512994,0.789474,30,0.325581,14,0.674419,29,0.210526,8,0.681818,0.789474,0.731707,0.464746,0.731946,0.637043,0.728395,0.264503,0.735497,0.271605,0.735948,0.728395,0.728147,0.464746,0.731946,0.671228,0.728354,0.728395,0.047,0,0.046875,0,46.875,0,8350,138961,17245,72.839506,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,725,81,53,28,0,65.432099,34.567901,0,0.314389,0.345679,0.587945,69.424644,117.811717,80.779108,30072,-29991.220892,0.997273,371.259259,-370.261986,24.595182,0.303644,2467.610492,0.736842,28,0.418605,18,0.581395,25,0.263158,10,0.608696,0.736842,0.666667,0.320601,0.659119,0.571969,0.654321,0.336084,0.663916,0.345679,0.66475,0.654321,0.653055,0.320601,0.659119,0.60676,0.653846,0.654321,0.038,0,0.046875,0,46.875,0,8350,138961,17245,65.432099,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,725,81,59,22,0,72.839506,27.160494,0,0.462929,0.271605,0.521157,54.547935,104.428926,80.779108,23628,-23547.220892,0.997273,291.703704,-290.706431,36.634594,0.452279,3675.512994,0.842105,32,0.372093,16,0.627907,27,0.157895,6,0.666667,0.842105,0.744186,0.477373,0.735006,0.635478,0.728395,0.258383,0.741617,0.271605,0.747101,0.728395,0.726317,0.477373,0.735006,0.675715,0.727356,0.728395,0.012,0,0,0,0,0,8350,138961,17245,72.839506,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,725,81,50,31,0,61.728395,38.271605,0,0.239782,0.382716,0.61864,76.862999,123.962498,80.779108,33294,-33213.220892,0.997273,411.037037,-410.039764,18.575475,0.229327,1863.659241,0.684211,26,0.44186,19,0.55814,24,0.315789,12,0.577778,0.684211,0.626506,0.243395,0.621175,0.54347,0.617284,0.374934,0.625066,0.382716,0.624966,0.617284,0.616467,0.243395,0.621175,0.577016,0.61705,0.617284,0.015,0,0.015625,0,15.625,0,8350,138961,17245,61.728395,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,6,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,725,81,49,32,0,60.493827,39.506173,0,0.209274,0.395062,0.628539,79.342451,125.946024,80.779108,34368,-34287.220892,0.997273,424.296296,-423.299023,16.568906,0.204554,1662.342157,0.605263,23,0.395349,17,0.604651,26,0.394737,15,0.575,0.605263,0.589744,0.20953,0.604957,0.533212,0.604938,0.395024,0.604976,0.395062,0.606399,0.604938,0.6053,0.20953,0.604957,0.565118,0.604396,0.604938,0.032,0,0.03125,0,31.25,0,8350,138961,17245,60.493827,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,7,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,726,80,66,14,0,82.5,17.5,0,0.651958,0.175,0.41833,35.173937,83.898843,79.679854,15036,-14956.320146,0.995998,187.95,-186.954002,51.591857,0.644898,5175.427212,0.891892,33,0.232558,10,0.767442,33,0.108108,4,0.767442,0.891892,0.825,0.659334,0.829667,0.734475,0.825,0.165666,0.834334,0.175,0.834334,0.825,0.825,0.659334,0.829667,0.774788,0.825,0.825,0.025,0,0.03125,0,31.25,0,8350,139150,17056,82.5,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,8,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,726,80,50,30,0,62.5,37.5,0,0.259716,0.375,0.612372,75.372722,122.815331,79.679854,32220,-32140.320146,0.995998,402.75,-401.754002,19.491289,0.243641,1955.264925,0.72973,27,0.465116,20,0.534884,23,0.27027,10,0.574468,0.72973,0.642857,0.268004,0.632307,0.544206,0.625,0.360387,0.639613,0.375,0.640313,0.625,0.62265,0.268004,0.632307,0.586449,0.62406,0.625,0.032,0,0.03125,0,31.25,0,8350,139150,17056,62.5,50,?
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,9,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20170203.2145,726,80,57,23,0,71.25,28.75,0,0.42928,0.2875,0.53619,57.785754,107.536494,79.679854,24702,-24622.320146,0.995998,308.775,-307.779002,33.535288,0.419191,3364.085926,0.783784,29,0.348837,15,0.651163,28,0.216216,8,0.659091,0.783784,0.716049,0.435907,0.717473,0.616585,0.7125,0.277553,0.722447,0.2875,0.722885,0.7125,0.712185,0.435907,0.717473,0.658174,0.712455,0.7125,0.031,0,0.03125,0,31.25,0,8350,139150,17056,71.25,50,?
