@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
0,150,0,138,0,1,1,0.520833,1,0.479167,0.684932,1,1,0.072163
1,150,0,137,1,0.992754,1,0.522648,1,0.477352,0.686499,0.996528,1.003484,0.072169
2,150,0,136,2,0.985507,1,0.524476,1,0.475524,0.688073,0.993056,1.006993,0.072169
3,150,0,135,3,0.978261,1,0.526316,1,0.473684,0.689655,0.989583,1.010526,0.072176
4,150,0,134,4,0.971014,1,0.528169,1,0.471831,0.691244,0.986111,1.014085,0.072186
5,150,0,133,5,0.963768,1,0.530035,1,0.469965,0.692841,0.982639,1.017668,0.072187
6,150,0,132,6,0.956522,1,0.531915,1,0.468085,0.694444,0.979167,1.021277,0.072246
7,150,0,130,8,0.942029,1,0.535714,1,0.464286,0.697674,0.972222,1.028571,0.072278
8,150,0,129,9,0.934783,1,0.537634,1,0.462366,0.699301,0.96875,1.032258,0.072313
9,149,1,129,9,0.934783,0.993333,0.535971,0.993333,0.464029,0.696262,0.965278,1.029065,0.072321
10,149,1,127,11,0.92029,0.993333,0.539855,0.993333,0.460145,0.699531,0.958333,1.036522,0.07237
11,149,1,126,12,0.913043,0.993333,0.541818,0.993333,0.458182,0.701176,0.954861,1.040291,0.072381
