@relation dr_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A20-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Class {0,1}

@data
0.000401,0.023184,0.012334,0.030451,0.030048,-0.001788,-0.011801,-0.035834,-0.009981,0.013321,0.022103,-0.017629,0.009866,0.006355,-0.00386,-0.001652,0.004318,0.003091,0.018054,0
0.023458,0.040496,-0.037891,0.009683,0.018144,-0.016386,0.029423,0.022911,0.019327,-0.011163,-0.002724,-0.007557,-0.00724,-0.004081,0.018051,-0.008494,0.014636,-0.029744,-0.01633,0
0.019808,0.003879,0.005569,-0.020986,-0.030462,-0.035138,0.029225,0.025287,0.001874,0.016569,-0.00291,-0.024918,-0.014777,0.030774,0.012542,0.011117,0.022371,-0.003952,-0.014083,1
0.013739,-0.010088,0.027208,0.018011,-0.041176,-0.02889,0.010175,0.010949,0.008584,0.038186,0.013984,-0.006606,-0.001906,0.027921,0.00001,0.015147,0.00262,-0.022113,0.010069,0
0.015359,0.025142,0.012325,0.021346,-0.021995,0.001752,0.016285,-0.011198,-0.005081,0.007776,0.010087,-0.010287,0.005062,0.013141,0.032378,0.017581,0.003961,-0.036163,0.023749,1
0.016814,-0.011961,0.006874,0.024533,-0.036754,-0.000182,0.008899,0.009539,0.021375,-0.008268,-0.00308,0.015434,-0.030567,-0.010382,0.003826,0.000012,-0.017686,-0.031105,-0.00212,1
-0.031593,0.020871,0.001326,-0.023589,-0.029094,-0.004604,-0.002277,0.048344,0.006871,-0.000078,-0.055443,-0.051307,0.007031,-0.044589,0.029329,0.008148,-0.00959,-0.025394,0.010918,1
-0.029626,-0.029278,0.00495,-0.008699,0.037986,-0.019393,-0.01967,-0.04374,0.025554,0.040859,-0.025264,0.013596,-0.015978,-0.003281,0.003527,-0.016766,-0.006743,0.058043,-0.00744,0
0.008538,0.016098,-0.001638,0.017573,0.019569,0.003118,0.0111,0.011859,0.018329,-0.006849,0.004974,0.020263,0.007139,0.000949,0.01498,-0.014352,-0.002737,-0.038886,-0.004494,1
0.013259,-0.024309,-0.00505,-0.023012,-0.060209,0.009031,0.015129,0.025648,0.019082,0.00226,-0.017747,0.024999,-0.008526,0.009952,0.012579,0.029686,-0.01153,0.021116,-0.026839,1
