@relation 'dr_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A20-N200-T1.0E-4_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21'

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
0,-0.001117,0.03143,0.00055,-0.008367,0.028476,-0.020754,-0.002825,0.020457,-0.035768,0.003158,0.015267,0.000923,0.011438,-0.005776,0.00808,0.016165,-0.009059,-0.015928,-0.021333,cluster1,0
1,0.030179,0.01643,0.021945,0.014982,-0.023395,0.000334,-0.001615,0.028495,-0.012747,0.009773,-0.029704,0.010896,0.0173,-0.009607,0.006505,-0.028131,0.001688,-0.015968,0.04596,cluster1,0
2,0.040196,-0.009515,0.020233,0.009088,-0.001197,0.016503,0.000565,0.0069,0.025473,0.027411,0.000339,0.024491,0.023029,-0.000688,0.014033,-0.012819,0.004102,0.046128,0.006793,cluster0,1
3,0.021051,-0.017332,-0.000039,0.002338,0.004022,0.000826,0.022534,-0.000843,0.008885,0.013784,-0.009061,0.009694,0.034209,-0.013088,0.034825,0.008311,-0.026464,0.041417,-0.02704,cluster1,0
4,0.00139,-0.007536,0.014118,0.006933,-0.008465,0.012235,0.005955,0.026694,-0.019524,0.028122,-0.008403,0.020067,0.027656,-0.019092,0.012504,0.027668,-0.032786,0.001459,-0.006403,cluster0,1
5,-0.012122,-0.018235,-0.001803,-0.001804,-0.028486,0.002248,0.008945,-0.009321,0.017938,0.009278,-0.020664,-0.01371,0.004051,-0.021054,0.039348,0.002747,-0.028936,0.0056,0.018279,cluster0,1
6,-0.014907,-0.050765,0.01436,-0.009206,0.003689,0.020364,-0.013505,-0.002699,0.003524,-0.017275,-0.008586,0.007938,0.052994,-0.028527,-0.046083,0.007836,0.009139,0.025109,0.064022,cluster0,1
7,-0.009614,0.036419,-0.005633,-0.021478,0.041796,-0.040176,-0.003191,-0.003957,0.041303,-0.059721,0.019774,0.018044,-0.03489,0.016601,-0.010233,0.000312,-0.008728,0.010788,-0.007148,cluster1,0
8,0.009076,-0.004741,0.00607,-0.006473,-0.028555,-0.014771,0.009507,0.021899,-0.010836,0.002267,-0.025995,-0.000722,0.00937,-0.006531,0.002246,-0.015571,-0.018409,-0.028431,0.005405,cluster0,1
9,-0.002487,-0.024548,-0.005478,0.024976,-0.020205,0.040106,0.022385,-0.033625,0.047969,0.007323,-0.000685,0.016793,-0.022074,-0.008085,-0.000643,-0.017547,-0.016998,0.03133,0.007417,cluster0,1
10,0.0105,0.018674,0.02004,0.017616,-0.009512,0.019637,0.022666,-0.030495,0.012992,0.016923,-0.035054,0.021476,0.001659,0.004821,-0.014941,-0.003425,0.032426,-0.007794,0.009718,cluster1,0
11,-0.014044,-0.004255,0.002086,0.005078,0.036217,0.002195,-0.03021,-0.01405,-0.006366,-0.016031,0.017224,-0.002836,0.044855,-0.035682,-0.036438,-0.020195,0.037072,0.002642,0.080315,cluster1,0
12,-0.014219,-0.012985,0.008639,-0.015673,-0.05881,0.002336,0.002466,-0.034073,0.012167,0.050747,0.02264,-0.003373,-0.029366,-0.009491,-0.032407,0.012047,-0.03272,-0.035322,0.008251,cluster0,1
13,0.017861,0.001499,-0.011307,-0.010412,0.010085,0.016964,0.023629,0.056596,-0.018573,0.001634,0.014558,-0.032186,0.008854,-0.00996,0.020749,-0.00961,-0.004055,0.001903,0.017232,cluster0,1
14,0.026999,0.02938,0.003042,0.009209,-0.06234,0.017553,0.034368,-0.093151,-0.02815,0.063007,0.010391,-0.014579,-0.007166,-0.015153,0.014033,-0.016517,0.001788,0.020703,0.055794,cluster1,0
15,-0.011436,0.020351,-0.005822,-0.001593,0.027497,-0.002072,-0.001119,0.000601,0.032352,-0.027208,0.000647,0.00422,-0.041661,0.003988,-0.024254,-0.017568,0.018791,-0.032032,0.001796,cluster1,0
16,0.099597,-0.035502,-0.121682,0.045393,-0.067832,-0.021339,-0.001118,-0.006085,0.038654,-0.010659,-0.016445,0.006819,0.017256,0.073585,0.040822,0.0181,0.072402,-0.032303,0.062579,cluster0,1
17,0.017266,0.003631,0.007405,-0.009377,-0.006984,-0.011227,-0.000622,-0.014316,0.011466,0.002022,-0.017794,0.008137,-0.020727,0.012671,-0.013222,-0.00167,-0.02442,-0.013752,0.040341,cluster1,0
18,0.014901,0.009439,0.029313,0.003595,-0.030536,0.019114,0.005912,-0.00862,-0.001831,0.020705,0.021489,0.028336,-0.005477,0.010533,-0.038193,0.025014,-0.015928,0.019626,0.001013,cluster1,0
19,0.005238,-0.039668,-0.019333,0.01215,0.030573,0.001234,-0.008085,-0.025597,-0.029415,-0.054822,0.032632,-0.009648,0.057385,0.010393,-0.03837,-0.044071,0.017261,0.063818,-0.003577,cluster0,1
20,0.008797,0.006307,0.009881,0.021464,-0.001925,-0.007211,0.015976,0.007738,-0.014951,0.020037,-0.022555,0.037798,0.03495,-0.010904,0.008979,-0.000126,-0.01087,-0.019873,-0.020097,cluster1,0
21,-0.016081,-0.00646,-0.003388,0.016726,-0.00157,0.011566,-0.029073,0.016255,-0.073338,-0.006947,0.000157,-0.021103,-0.007362,-0.006967,-0.00287,-0.006287,-0.007933,-0.028872,-0.068567,cluster0,1
22,-0.012397,-0.081104,-0.021806,-0.047492,-0.019707,-0.021951,0.008103,-0.050872,0.006213,-0.01757,0.016082,-0.003067,0.018366,-0.028364,-0.04456,-0.023473,-0.012159,-0.014216,0.043192,cluster0,1
23,-0.020955,0.011991,0.004989,-0.022571,0.018131,0.002116,-0.017996,0.014544,-0.004426,-0.017281,-0.002147,-0.027066,-0.02745,-0.003601,0.006048,0.022444,0.006921,-0.015236,0.00219,cluster1,0
24,0.000762,0.019285,0.015302,0.009068,0.007621,0.020008,-0.062601,-0.009818,-0.019173,-0.048114,0.009462,-0.016256,-0.057569,0.00742,-0.003802,-0.026135,0.006199,0.040657,0.013679,cluster0,1
25,0.030738,0.05061,-0.027264,-0.013544,-0.037517,-0.013494,-0.010218,0.049612,-0.00393,-0.008368,0.011068,-0.026869,0.003645,-0.014304,-0.041306,0.024395,0.023401,0.017884,-0.012895,cluster0,1
26,0.01151,-0.020924,0.020718,-0.014212,-0.011099,0.021422,0.031717,-0.001773,0.036757,-0.003841,-0.017098,0.004305,0.010484,0.022508,0.014348,0.020303,0.020809,0.033422,-0.002295,cluster1,0
27,0.035707,-0.061094,0.068514,0.021048,-0.28542,-0.071297,-0.114613,0.006555,0.065943,-0.012885,0.092236,-0.154412,-0.017204,0.042684,-0.015252,0.005201,0.03874,-0.184526,0.02932,cluster0,1
28,0.004537,-0.008925,0.02376,0.010495,-0.001651,0.017006,-0.002132,0.003983,0.034704,-0.008001,-0.00582,0.031871,0.005798,0.004278,0.013874,0.016235,-0.00922,0.039046,0.007185,cluster1,0
29,0.047072,-0.080223,-0.045774,0.004357,-0.007482,0.072884,0.08977,0.063207,-0.01219,0.023058,0.001674,-0.007548,0.013496,-0.01004,-0.001396,-0.063057,-0.044059,0.044229,-0.026389,cluster0,1
30,-0.01141,0.025,0.002275,-0.024198,0.019193,-0.015043,-0.023253,0.003038,0.016786,-0.029801,0.019101,-0.011207,-0.042815,0.002113,-0.004927,0.002879,-0.007423,0.001933,0.018993,cluster1,0
