@relation 'dr-weka.filters.unsupervised.attribute.Remove-V-R3,15-16,4,14,5,9,6,13,7-8,2,1,19,18,17,12,11,10,20-weka.filters.unsupervised.attribute.Remove-V-R1-11,20'

@attribute MA_Detection_1 numeric
@attribute MA_Detection_Exudates_7 numeric
@attribute MA_Detection_Exudates_8 numeric
@attribute MA_Detection_2 numeric
@attribute MA_Detection_Exudates_6 numeric
@attribute MA_Detection_3 numeric
@attribute MA_Detection_Exudates_1 numeric
@attribute MA_Detection_4 numeric
@attribute MA_Detection_Exudates_5 numeric
@attribute MA_Detection_5 numeric
@attribute MA_Detection_6 numeric
@attribute Class {0,1}

@data
22,0.003923,0.003923,22,0.006864,22,49.895756,19,0.018632,18,14,0
24,0.003903,0.003903,24,0.003903,22,57.709936,18,0.003903,16,13,0
62,0.041817,0.007744,60,0.373252,59,55.831441,54,1.393889,47,33,1
55,0.007653,0.001531,53,0.272434,53,40.467228,50,0.840261,43,31,0
44,0,0,44,0,44,18.026254,41,0,39,27,1
44,0,0,43,0,41,28.3564,41,0,37,29,1
29,0,0,29,0,29,15.448398,27,0,25,16,1
6,0,0,6,0,6,20.679649,6,0,2,1,0
22,0,0,21,0,18,66.691933,15,0,13,10,1
79,0,0,75,0,73,22.141784,71,0.023386,64,47,1
45,0,0,45,0,45,84.358401,43,0,40,32,0
25,0,0,25,0,25,22.480047,23,0,22,18,0
70,0,0,69,0.004799,65,10.5601,63,0.103985,63,50,1
48,0,0,43,0,39,23.012798,32,0.011437,27,18,1
94,0,0,93,0,92,8.610822,89,0,86,77,0
20,0.000978,0.000978,18,0.002933,16,65.113664,15,0.051811,13,9,0
105,2.34574,1.002243,95,6.114911,81,123.053484,66,14.786668,46,32,1
25,0.188975,0.130114,25,0.306697,24,17.03406,23,0.46779,22,19,0
64,0,0,64,0,63,19.673459,58,0,55,40,0
46,0.118458,0.071698,41,0.186,39,115.533777,32,0.329396,23,15,1
37,0,0,37,0.010772,37,61.357614,34,0.178499,31,23,0
