@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6'

@attribute Instance_number numeric
@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
0,1.569572,0.447339,-0.259453,0.178267,cluster1,0
1,1.1628,0.86702,-0.618102,1.421324,cluster1,0
2,-2.317477,-0.57337,0.68581,0.649492,cluster0,1
3,-1.890267,-0.083931,0.250062,1.063986,cluster1,0
4,-1.268765,1.007526,-0.604528,1.486359,cluster0,1
5,-1.179229,1.008574,-0.527185,1.048025,cluster0,1
6,0.324623,1.422501,-1.393321,1.951862,cluster0,1
7,3.073834,1.173457,-1.13626,-2.909817,cluster1,0
8,1.5802,0.617873,-0.404461,0.788655,cluster0,1
9,-4.314998,0.994822,0.355681,-0.864633,cluster0,1
10,-0.923947,-0.268371,1.506682,-0.218998,cluster1,0
11,1.059161,1.223717,-1.112742,1.552401,cluster1,0
12,-3.907532,1.026764,0.077775,-1.108962,cluster0,1
13,-0.167087,0.848073,-0.534382,1.341614,cluster0,1
14,-6.776711,1.076714,0.650488,0.115611,cluster1,0
15,2.222345,0.375121,0.189647,-1.9016,cluster1,0
16,-4.025879,-12.409468,-2.363376,0.412565,cluster0,1
17,0.460469,0.650384,-1.504829,-0.788526,cluster1,0
18,-3.165066,1.07902,-0.014189,-1.090033,cluster1,0
19,0.52064,-0.339438,0.197744,0.501758,cluster0,1
20,-0.191829,0.142735,0.406877,1.058491,cluster1,0
21,2.794126,-0.551576,1.161249,0.419202,cluster0,1
22,-0.252824,0.950492,-1.348789,0.370789,cluster0,1
23,2.837914,0.427575,-0.230611,-0.356929,cluster1,0
24,3.345903,0.869075,-0.517168,-1.608818,cluster0,1
25,0.69309,-2.426117,-0.891356,-0.537854,cluster0,1
26,-1.284283,-0.576093,1.353136,0.086393,cluster1,0
27,-2.108399,-5.2622,3.006206,-0.375429,cluster0,1
28,-1.115553,0.690464,-0.168336,-0.100518,cluster1,0
29,-4.849964,0.843839,0.148192,1.649988,cluster0,1
30,2.335572,1.275079,-1.174889,-1.720648,cluster1,0
31,-1.037974,1.339106,-0.715565,-1.283513,cluster0,1
32,-2.854957,-2.199727,3.508652,1.902602,cluster0,1
33,3.029614,-0.610923,1.088227,0.149977,cluster1,0
34,-2.624526,0.453129,0.20709,0.675079,cluster0,1
35,0.004468,1.434237,-1.557698,2.269314,cluster1,0
36,3.375705,1.045413,-1.246021,0.023483,cluster0,1
37,-3.366295,0.691338,0.22435,0.887841,cluster0,1
38,-0.963581,0.610214,-0.158865,1.553649,cluster1,0
39,1.900016,0.589955,-1.199594,2.029864,cluster0,1
40,-4.152748,0.792834,0.383834,-0.945004,cluster0,1
41,2.995074,0.367001,-0.280575,0.482681,cluster1,0
42,-0.096217,-2.735439,1.501542,0.179592,cluster0,1
43,1.90153,1.465808,-1.861252,1.563032,cluster1,0
44,3.32631,0.57723,-0.533594,0.347903,cluster1,0
45,-0.276294,1.141197,-0.779491,0.549458,cluster0,1
46,-2.854322,0.298706,0.740971,-0.069849,cluster0,1
47,2.452386,1.089633,-1.318123,2.010134,cluster1,0
48,-0.491405,0.190795,0.485908,1.570083,cluster0,1
49,2.559223,-0.328283,0.281838,2.409374,cluster1,0
50,0.933048,1.538155,-1.627476,1.780302,cluster1,0
51,-0.18359,1.136159,-0.750402,-0.533707,cluster0,1
52,1.468227,0.890291,-0.914817,0.144503,cluster1,0
53,2.565988,0.547496,-0.379484,0.368287,cluster1,0
54,-1.271426,1.04955,-0.311633,-0.618278,cluster0,1
55,-5.825819,-7.592635,-3.860216,-0.847254,cluster0,1
56,2.041399,0.130575,-0.33191,-0.567943,cluster0,1
57,2.31475,-0.140632,0.78345,-0.636039,cluster1,0
58,-1.330085,0.43323,-0.691314,-0.59641,cluster0,1
59,3.824251,-0.758595,1.392847,2.804341,cluster0,1
60,0.406351,0.653278,-0.345393,0.762113,cluster0,1
61,1.267818,0.152697,0.452949,-0.155056,cluster1,0
62,1.708308,0.405572,-0.11264,-1.230919,cluster0,1
63,2.764346,-0.376792,1.098478,-0.575258,cluster1,0
64,-3.123242,0.048976,1.585979,-2.672579,cluster0,1
65,1.692525,1.275043,-1.356759,0.132711,cluster0,1
66,-2.897269,0.926545,0.215477,-1.443019,cluster1,0
67,-2.022047,0.419723,0.372449,1.207094,cluster0,1
68,-0.331429,-0.585833,1.824473,-0.470834,cluster0,1
69,-4.427673,0.323097,1.368517,-1.39611,cluster1,0
70,-3.894543,1.024814,-0.027507,-1.034285,cluster0,1
71,2.111072,0.707527,-0.446833,-1.315587,cluster1,0
72,-2.2449,0.761169,0.230041,-2.12255,cluster0,1
73,-3.157887,0.382708,0.543168,-1.044709,cluster1,0
74,-2.82557,0.480172,0.225151,-0.02079,cluster0,1
75,-1.344284,0.890947,-0.617373,-0.877028,cluster0,1
76,-0.391313,0.291233,0.232098,-0.104896,cluster1,0
77,0.888888,0.80105,-0.50286,1.687773,cluster1,0
78,2.224774,0.172733,0.127214,-1.255781,cluster1,0
79,0.934639,-0.063851,0.062872,-0.361431,cluster0,1
80,-4.520081,-0.569871,0.985566,0.30665,cluster0,1
81,1.368262,1.139972,-1.201132,-0.034098,cluster1,0
82,-2.573708,1.014253,-0.269947,0.863025,cluster0,1
83,-0.360361,-5.631094,1.331439,-0.486348,cluster0,1
84,0.617403,1.219567,-1.103969,-2.082511,cluster0,1
85,-2.068058,0.75524,-0.058517,0.15099,cluster1,0
86,2.461954,-0.204805,0.695436,-1.014687,cluster0,1
87,-0.188099,1.121411,-0.722465,-0.524641,cluster0,1
88,2.033053,0.54866,-1.977794,-0.180111,cluster0,1
89,1.650664,1.336101,-1.418961,-0.45226,cluster0,1
90,0.712819,-1.520778,-0.17591,-1.96343,cluster1,0
91,-3.704306,0.804284,0.152855,0.709109,cluster0,1
92,-2.875555,-0.096698,0.800109,0.695317,cluster0,1
93,2.878232,-0.110335,0.769846,-1.501369,cluster1,0
94,0.602685,-4.297758,-0.823781,-0.296062,cluster0,1
95,1.005408,-0.985743,1.179231,1.177079,cluster1,0
96,-2.556339,0.263217,0.957245,-0.591587,cluster0,1
97,1.902209,-0.766427,1.622609,-0.651092,cluster1,0
98,-1.900707,0.820803,-0.004884,-0.160357,cluster1,0
99,3.080156,0.445246,0.009841,-0.359879,cluster0,1
100,-0.783559,1.072406,-0.627497,1.387126,cluster0,1
101,-1.061065,1.241193,-0.966285,1.695206,cluster0,1
102,2.123581,0.239815,0.287401,-0.327519,cluster0,1
103,2.55145,0.235137,-0.007522,0.467592,cluster1,0
104,2.789187,-0.055268,0.557895,0.920468,cluster0,1
105,-1.271663,1.095064,-0.608745,0.32542,cluster1,0
106,-1.202332,-18.174685,-11.907096,-1.311769,cluster0,1
107,3.074661,1.503717,-1.952289,1.895157,cluster1,0
108,1.951962,1.078455,-0.945473,-0.874207,cluster0,1
109,-1.445374,1.267684,-0.712681,0.088304,cluster0,1
110,0.02405,0.162364,0.229689,0.595396,cluster1,0
