@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,8'

@attribute Instance_number numeric
@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute 0.869quality_of_assessment-0.434results_of_prescreening-0.175AM_FM_classification-0.142Diameter_of_Optic_Disc-0.06Distance_to_macula... numeric
@attribute '0.79 results_of_prescreening-0.482Distance_to_macula+0.334quality_of_assessment-0.124AM_FM_classification-0.065MA_Detection_Exudates_3...' numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
0,1.569572,0.447339,-0.259453,0.178267,-0.121288,0.841168,cluster1,0
1,1.1628,0.86702,-0.618102,1.421324,-0.173612,0.55701,cluster1,0
2,-2.317477,-0.57337,0.68581,0.649492,-0.220035,0.013355,cluster0,1
3,-1.890267,-0.083931,0.250062,1.063986,0.016169,0.925773,cluster1,0
4,-1.268765,1.007526,-0.604528,1.486359,0.00403,1.235747,cluster0,1
5,-1.179229,1.008574,-0.527185,1.048025,-0.078842,0.769351,cluster0,1
6,0.324623,1.422501,-1.393321,1.951862,1.379089,-2.673212,cluster0,1
7,3.073834,1.173457,-1.13626,-2.909817,-0.016296,-0.563945,cluster1,0
8,1.5802,0.617873,-0.404461,0.788655,0.097853,0.88509,cluster0,1
9,-4.314998,0.994822,0.355681,-0.864633,-0.190163,-0.457917,cluster0,1
10,-0.923947,-0.268371,1.506682,-0.218998,-0.075642,-0.216315,cluster1,0
11,1.059161,1.223717,-1.112742,1.552401,1.003338,-3.084923,cluster1,0
12,-3.907532,1.026764,0.077775,-1.108962,0.04783,0.050942,cluster0,1
13,-0.167087,0.848073,-0.534382,1.341614,-0.527622,0.548238,cluster0,1
14,-6.776711,1.076714,0.650488,0.115611,-0.346442,-0.188275,cluster1,0
15,2.222345,0.375121,0.189647,-1.9016,-0.201967,-0.619502,cluster1,0
16,-4.025879,-12.409468,-2.363376,0.412565,-0.671803,-0.699553,cluster0,1
17,0.460469,0.650384,-1.504829,-0.788526,0.036854,0.035925,cluster1,0
18,-3.165066,1.07902,-0.014189,-1.090033,-0.038738,-0.209681,cluster1,0
19,0.52064,-0.339438,0.197744,0.501758,1.229543,-3.160718,cluster0,1
20,-0.191829,0.142735,0.406877,1.058491,0.12517,1.102845,cluster1,0
21,2.794126,-0.551576,1.161249,0.419202,-0.031589,1.014041,cluster0,1
22,-0.252824,0.950492,-1.348789,0.370789,1.697249,-2.688112,cluster0,1
23,2.837914,0.427575,-0.230611,-0.356929,-0.235182,0.162416,cluster1,0
24,3.345903,0.869075,-0.517168,-1.608818,-0.360475,-0.7842,cluster0,1
25,0.69309,-2.426117,-0.891356,-0.537854,-0.276082,-0.040914,cluster0,1
26,-1.284283,-0.576093,1.353136,0.086393,-0.133776,-0.188268,cluster1,0
27,-2.108399,-5.2622,3.006206,-0.375429,-0.654246,-1.191914,cluster0,1
28,-1.115553,0.690464,-0.168336,-0.100518,-0.105138,-0.002677,cluster1,0
29,-4.849964,0.843839,0.148192,1.649988,-0.275167,0.742315,cluster0,1
30,2.335572,1.275079,-1.174889,-1.720648,-0.225217,-0.394599,cluster1,0
31,-1.037974,1.339106,-0.715565,-1.283513,0.025816,-0.209075,cluster0,1
32,-2.854957,-2.199727,3.508652,1.902602,-0.720812,0.039973,cluster0,1
33,3.029614,-0.610923,1.088227,0.149977,0.132312,0.391903,cluster1,0
34,-2.624526,0.453129,0.20709,0.675079,0.133315,1.121886,cluster0,1
35,0.004468,1.434237,-1.557698,2.269314,1.579798,-1.915301,cluster1,0
36,3.375705,1.045413,-1.246021,0.023483,-0.229221,0.47986,cluster0,1
37,-3.366295,0.691338,0.22435,0.887841,-0.058502,0.789967,cluster0,1
38,-0.963581,0.610214,-0.158865,1.553649,0.035708,1.276166,cluster1,0
39,1.900016,0.589955,-1.199594,2.029864,1.625564,-2.142752,cluster0,1
40,-4.152748,0.792834,0.383834,-0.945004,0.005835,0.000877,cluster0,1
41,2.995074,0.367001,-0.280575,0.482681,0.206025,0.876799,cluster1,0
42,-0.096217,-2.735439,1.501542,0.179592,-0.404736,-0.127338,cluster0,1
43,1.90153,1.465808,-1.861252,1.563032,-0.00047,1.191014,cluster1,0
44,3.32631,0.57723,-0.533594,0.347903,-0.212841,0.616659,cluster1,0
45,-0.276294,1.141197,-0.779491,0.549458,-0.051664,0.526217,cluster0,1
46,-2.854322,0.298706,0.740971,-0.069849,0.191171,0.831055,cluster0,1
47,2.452386,1.089633,-1.318123,2.010134,-0.10393,1.050095,cluster1,0
48,-0.491405,0.190795,0.485908,1.570083,-0.484999,-0.26059,cluster0,1
49,2.559223,-0.328283,0.281838,2.409374,-0.118452,1.892159,cluster1,0
50,0.933048,1.538155,-1.627476,1.780302,-0.305017,0.540216,cluster1,0
51,-0.18359,1.136159,-0.750402,-0.533707,-0.223891,0.371981,cluster0,1
52,1.468227,0.890291,-0.914817,0.144503,0.191132,0.840782,cluster1,0
53,2.565988,0.547496,-0.379484,0.368287,-0.245424,0.555561,cluster1,0
54,-1.271426,1.04955,-0.311633,-0.618278,-0.100734,-0.227324,cluster0,1
55,-5.825819,-7.592635,-3.860216,-0.847254,-0.044454,0.122729,cluster0,1
56,2.041399,0.130575,-0.33191,-0.567943,-0.159196,0.292067,cluster0,1
57,2.31475,-0.140632,0.78345,-0.636039,0.333308,0.527916,cluster1,0
58,-1.330085,0.43323,-0.691314,-0.59641,-0.327797,0.107127,cluster0,1
59,3.824251,-0.758595,1.392847,2.804341,1.123807,-2.583958,cluster0,1
60,0.406351,0.653278,-0.345393,0.762113,0.136271,1.036249,cluster0,1
61,1.267818,0.152697,0.452949,-0.155056,0.104405,0.302962,cluster1,0
62,1.708308,0.405572,-0.11264,-1.230919,0.168264,-0.085895,cluster0,1
63,2.764346,-0.376792,1.098478,-0.575258,-0.326829,-0.367899,cluster1,0
64,-3.123242,0.048976,1.585979,-2.672579,0.114044,-0.797917,cluster0,1
65,1.692525,1.275043,-1.356759,0.132711,-0.318423,0.415789,cluster0,1
66,-2.897269,0.926545,0.215477,-1.443019,-0.110627,-0.643724,cluster1,0
67,-2.022047,0.419723,0.372449,1.207094,-0.044966,0.880597,cluster0,1
68,-0.331429,-0.585833,1.824473,-0.470834,-0.33993,-0.235478,cluster0,1
69,-4.427673,0.323097,1.368517,-1.39611,0.101455,-0.094874,cluster1,0
70,-3.894543,1.024814,-0.027507,-1.034285,-0.018905,-0.0758,cluster0,1
71,2.111072,0.707527,-0.446833,-1.315587,-0.032071,0.263041,cluster1,0
72,-2.2449,0.761169,0.230041,-2.12255,0.370006,0.226971,cluster0,1
73,-3.157887,0.382708,0.543168,-1.044709,0.111984,0.117957,cluster1,0
74,-2.82557,0.480172,0.225151,-0.02079,0.149279,0.80407,cluster0,1
75,-1.344284,0.890947,-0.617373,-0.877028,0.058216,0.095831,cluster0,1
76,-0.391313,0.291233,0.232098,-0.104896,0.180992,0.682539,cluster1,0
77,0.888888,0.80105,-0.50286,1.687773,-0.214589,0.592025,cluster1,0
78,2.224774,0.172733,0.127214,-1.255781,-0.098357,0.000768,cluster1,0
79,0.934639,-0.063851,0.062872,-0.361431,0.198915,0.481338,cluster0,1
80,-4.520081,-0.569871,0.985566,0.30665,0.082189,0.768565,cluster0,1
81,1.368262,1.139972,-1.201132,-0.034098,0.259728,0.977771,cluster1,0
82,-2.573708,1.014253,-0.269947,0.863025,-0.014715,0.902783,cluster0,1
83,-0.360361,-5.631094,1.331439,-0.486348,0.294903,0.438955,cluster0,1
84,0.617403,1.219567,-1.103969,-2.082511,0.148769,-0.406419,cluster0,1
85,-2.068058,0.75524,-0.058517,0.15099,0.105108,0.765911,cluster1,0
86,2.461954,-0.204805,0.695436,-1.014687,-0.09098,0.083744,cluster0,1
87,-0.188099,1.121411,-0.722465,-0.524641,0.112065,0.364942,cluster0,1
88,2.033053,0.54866,-1.977794,-0.180111,0.157117,0.611936,cluster0,1
89,1.650664,1.336101,-1.418961,-0.45226,0.22864,0.685342,cluster0,1
90,0.712819,-1.520778,-0.17591,-1.96343,-0.253112,-0.771956,cluster1,0
91,-3.704306,0.804284,0.152855,0.709109,-0.044063,0.781428,cluster0,1
92,-2.875555,-0.096698,0.800109,0.695317,0.1437,1.090997,cluster0,1
93,2.878232,-0.110335,0.769846,-1.501369,-0.062845,-0.155785,cluster1,0
94,0.602685,-4.297758,-0.823781,-0.296062,-0.370212,-0.178932,cluster0,1
95,1.005408,-0.985743,1.179231,1.177079,0.090365,0.851192,cluster1,0
96,-2.556339,0.263217,0.957245,-0.591587,0.283668,0.745158,cluster0,1
97,1.902209,-0.766427,1.622609,-0.651092,-0.048378,0.28611,cluster1,0
98,-1.900707,0.820803,-0.004884,-0.160357,0.065123,0.477985,cluster1,0
99,3.080156,0.445246,0.009841,-0.359879,-0.446777,-0.439196,cluster0,1
100,-0.783559,1.072406,-0.627497,1.387126,-0.188744,0.638197,cluster0,1
101,-1.061065,1.241193,-0.966285,1.695206,-0.109413,1.08313,cluster0,1
102,2.123581,0.239815,0.287401,-0.327519,0.151631,0.319544,cluster0,1
103,2.55145,0.235137,-0.007522,0.467592,-0.140586,0.839869,cluster1,0
104,2.789187,-0.055268,0.557895,0.920468,-0.103967,0.239767,cluster0,1
105,-1.271663,1.095064,-0.608745,0.32542,0.108952,0.889887,cluster1,0
106,-1.202332,-18.174685,-11.907096,-1.311769,-0.11819,0.654625,cluster0,1
107,3.074661,1.503717,-1.952289,1.895157,1.482958,-2.547167,cluster1,0
108,1.951962,1.078455,-0.945473,-0.874207,-0.34742,-0.265111,cluster0,1
109,-1.445374,1.267684,-0.712681,0.088304,-0.11941,0.174662,cluster0,1
110,0.02405,0.162364,0.229689,0.595396,0.210668,1.090296,cluster1,0
111,0.821503,1.233289,-0.949878,-1.548351,-0.204769,-0.182125,cluster1,0
112,-1.947927,0.012173,1.346919,-0.201377,-0.173806,-0.359764,cluster1,0
113,0.991559,-5.73542,-0.504265,-0.396523,-0.108356,0.309041,cluster0,1
114,-2.582872,0.934791,0.008907,-1.206695,0.113141,0.081906,cluster0,1
115,2.767221,0.979314,-0.865875,-2.107401,0.390003,0.046515,cluster1,0
116,-0.902974,1.023964,-0.486386,-0.67006,-0.171814,0.456066,cluster1,0
117,-0.87361,0.594426,0.111668,0.650912,-0.016867,0.598692,cluster1,0
118,3.208081,0.234362,0.154077,-1.016446,-0.123793,0.08541,cluster0,1
119,-3.807546,0.207524,1.133948,-0.274585,-0.342995,-0.698015,cluster1,0
120,2.25768,0.676601,-0.562823,0.189383,0.089157,0.528553,cluster0,1
121,2.876399,0.733308,-0.426644,-2.266141,-0.075195,-0.422798,cluster0,1
122,-1.031093,0.878444,-0.757753,0.461212,1.209748,-3.043427,cluster0,1
123,-0.518343,0.84453,-0.273504,-0.418679,-0.055537,-0.06117,cluster1,0
124,0.908506,1.0454,-1.029974,0.034612,0.327184,1.223542,cluster0,1
125,2.142477,1.584713,-2.74329,2.83226,-15.056957,-4.770709,cluster1,0
126,-1.946623,1.182691,-0.820047,1.794855,1.603578,-2.058142,cluster1,0
127,-4.984952,0.344481,1.105155,-0.559245,0.084238,0.390206,cluster0,1
128,-3.013454,0.79871,0.326322,-1.138341,-0.105039,-0.474929,cluster0,1
129,-3.963563,-0.662046,2.782276,-0.295868,-0.880977,-1.34523,cluster0,1
130,-1.761303,1.227004,-0.554337,-0.140391,-0.032435,0.290521,cluster0,1
131,2.26178,0.825344,-0.526292,-1.72317,-0.295183,-0.683141,cluster1,0
132,-2.671549,0.386457,0.726124,-1.17432,0.228678,0.322295,cluster0,1
133,-3.323946,0.943962,0.026144,-0.477534,0.119923,0.551501,cluster0,1
134,0.294335,1.428431,-1.327536,-0.139889,0.072842,0.5124,cluster0,1
135,2.397593,0.668558,-0.249663,-1.35299,-0.205534,-0.272049,cluster0,1
136,-0.531308,1.163635,-0.85831,0.607159,0.03579,0.821948,cluster1,0
137,-3.576438,0.997433,0.222248,-1.085119,0.060944,0.059022,cluster0,1
138,2.44299,0.534269,-0.202691,-0.972488,-0.158775,0.067152,cluster1,0
139,2.118582,0.820031,-0.811768,0.8764,-0.281752,0.844188,cluster1,0
140,-2.928598,0.821529,-0.233228,1.805497,-0.180468,0.995636,cluster0,1
