@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute Class {0,1}

@data
1.569572,0.447339,0
1.1628,0.86702,0
-2.317477,-0.57337,1
-1.890267,-0.083931,0
-1.268765,1.007526,1
-1.179229,1.008574,1
0.324623,1.422501,1
3.073834,1.173457,0
1.5802,0.617873,1
-4.314998,0.994822,1
-0.923947,-0.268371,0
1.059161,1.223717,0
-3.907532,1.026764,1
-0.167087,0.848073,1
-6.776711,1.076714,0
2.222345,0.375121,0
-4.025879,-12.409468,1
0.460469,0.650384,0
-3.165066,1.07902,0
0.52064,-0.339438,1
-0.191829,0.142735,0
2.794126,-0.551576,1
-0.252824,0.950492,1
2.837914,0.427575,0
3.345903,0.869075,1
0.69309,-2.426117,1
-1.284283,-0.576093,0
-2.108399,-5.2622,1
-1.115553,0.690464,0
-4.849964,0.843839,1
2.335572,1.275079,0
-1.037974,1.339106,1
-2.854957,-2.199727,1
3.029614,-0.610923,0
-2.624526,0.453129,1
0.004468,1.434237,0
3.375705,1.045413,1
-3.366295,0.691338,1
-0.963581,0.610214,0
1.900016,0.589955,1
-4.152748,0.792834,1
2.995074,0.367001,0
-0.096217,-2.735439,1
1.90153,1.465808,0
3.32631,0.57723,0
-0.276294,1.141197,1
-2.854322,0.298706,1
2.452386,1.089633,0
-0.491405,0.190795,1
2.559223,-0.328283,0
0.933048,1.538155,0
-0.18359,1.136159,1
1.468227,0.890291,0
2.565988,0.547496,0
-1.271426,1.04955,1
-5.825819,-7.592635,1
2.041399,0.130575,1
2.31475,-0.140632,0
-1.330085,0.43323,1
3.824251,-0.758595,1
0.406351,0.653278,1
1.267818,0.152697,0
1.708308,0.405572,1
2.764346,-0.376792,0
-3.123242,0.048976,1
1.692525,1.275043,1
-2.897269,0.926545,0
-2.022047,0.419723,1
-0.331429,-0.585833,1
-4.427673,0.323097,0
-3.894543,1.024814,1
2.111072,0.707527,0
-2.2449,0.761169,1
-3.157887,0.382708,0
-2.82557,0.480172,1
-1.344284,0.890947,1
-0.391313,0.291233,0
0.888888,0.80105,0
2.224774,0.172733,0
0.934639,-0.063851,1
-4.520081,-0.569871,1
1.368262,1.139972,0
-2.573708,1.014253,1
-0.360361,-5.631094,1
0.617403,1.219567,1
-2.068058,0.75524,0
2.461954,-0.204805,1
-0.188099,1.121411,1
2.033053,0.54866,1
1.650664,1.336101,1
0.712819,-1.520778,0
-3.704306,0.804284,1
-2.875555,-0.096698,1
2.878232,-0.110335,0
0.602685,-4.297758,1
1.005408,-0.985743,0
-2.556339,0.263217,1
1.902209,-0.766427,0
-1.900707,0.820803,0
3.080156,0.445246,1
-0.783559,1.072406,1
-1.061065,1.241193,1
2.123581,0.239815,1
2.55145,0.235137,0
2.789187,-0.055268,1
-1.271663,1.095064,0
-1.202332,-18.174685,1
3.074661,1.503717,0
1.951962,1.078455,1
-1.445374,1.267684,1
0.02405,0.162364,0
0.821503,1.233289,0
-1.947927,0.012173,0
0.991559,-5.73542,1
-2.582872,0.934791,1
2.767221,0.979314,0
-0.902974,1.023964,0
-0.87361,0.594426,0
3.208081,0.234362,1
-3.807546,0.207524,0
2.25768,0.676601,1
2.876399,0.733308,1
-1.031093,0.878444,1
-0.518343,0.84453,0
0.908506,1.0454,1
2.142477,1.584713,0
-1.946623,1.182691,0
-4.984952,0.344481,1
-3.013454,0.79871,1
-3.963563,-0.662046,1
-1.761303,1.227004,1
2.26178,0.825344,0
-2.671549,0.386457,1
-3.323946,0.943962,1
0.294335,1.428431,1
2.397593,0.668558,1
-0.531308,1.163635,0
-3.576438,0.997433,1
2.44299,0.534269,0
2.118582,0.820031,0
-2.928598,0.821529,1
2.364552,1.498426,1
3.331713,-1.538118,0
-0.523885,1.002124,0
-0.63651,-1.207928,0
-4.081948,-4.397552,1
1.924382,0.987779,0
-2.863133,0.850135,1
-0.030631,1.354899,1
1.616905,0.076593,1
-0.088911,1.310444,1
1.416387,1.352316,0
-4.881476,0.734495,0
1.754005,1.365477,0
0.846008,1.353923,1
-2.038402,1.128533,1
2.180558,-12.505555,1
-1.259661,1.073093,1
-1.272479,1.288552,0
-3.5478,-0.394664,1
0.160095,1.287657,0
-1.482326,0.412513,0
2.607498,-0.405547,1
1.831361,0.496555,0
