@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute Class {0,1}

@data
1.569572,0.447339,-0.259453,0.178267,0
1.1628,0.86702,-0.618102,1.421324,0
-2.317477,-0.57337,0.68581,0.649492,1
-1.890267,-0.083931,0.250062,1.063986,0
-1.268765,1.007526,-0.604528,1.486359,1
-1.179229,1.008574,-0.527185,1.048025,1
0.324623,1.422501,-1.393321,1.951862,1
3.073834,1.173457,-1.13626,-2.909817,0
1.5802,0.617873,-0.404461,0.788655,1
-4.314998,0.994822,0.355681,-0.864633,1
-0.923947,-0.268371,1.506682,-0.218998,0
1.059161,1.223717,-1.112742,1.552401,0
-3.907532,1.026764,0.077775,-1.108962,1
-0.167087,0.848073,-0.534382,1.341614,1
-6.776711,1.076714,0.650488,0.115611,0
2.222345,0.375121,0.189647,-1.9016,0
-4.025879,-12.409468,-2.363376,0.412565,1
0.460469,0.650384,-1.504829,-0.788526,0
-3.165066,1.07902,-0.014189,-1.090033,0
0.52064,-0.339438,0.197744,0.501758,1
-0.191829,0.142735,0.406877,1.058491,0
2.794126,-0.551576,1.161249,0.419202,1
-0.252824,0.950492,-1.348789,0.370789,1
2.837914,0.427575,-0.230611,-0.356929,0
3.345903,0.869075,-0.517168,-1.608818,1
0.69309,-2.426117,-0.891356,-0.537854,1
-1.284283,-0.576093,1.353136,0.086393,0
-2.108399,-5.2622,3.006206,-0.375429,1
-1.115553,0.690464,-0.168336,-0.100518,0
-4.849964,0.843839,0.148192,1.649988,1
2.335572,1.275079,-1.174889,-1.720648,0
-1.037974,1.339106,-0.715565,-1.283513,1
-2.854957,-2.199727,3.508652,1.902602,1
3.029614,-0.610923,1.088227,0.149977,0
-2.624526,0.453129,0.20709,0.675079,1
0.004468,1.434237,-1.557698,2.269314,0
3.375705,1.045413,-1.246021,0.023483,1
-3.366295,0.691338,0.22435,0.887841,1
-0.963581,0.610214,-0.158865,1.553649,0
1.900016,0.589955,-1.199594,2.029864,1
-4.152748,0.792834,0.383834,-0.945004,1
2.995074,0.367001,-0.280575,0.482681,0
-0.096217,-2.735439,1.501542,0.179592,1
1.90153,1.465808,-1.861252,1.563032,0
3.32631,0.57723,-0.533594,0.347903,0
-0.276294,1.141197,-0.779491,0.549458,1
-2.854322,0.298706,0.740971,-0.069849,1
2.452386,1.089633,-1.318123,2.010134,0
-0.491405,0.190795,0.485908,1.570083,1
2.559223,-0.328283,0.281838,2.409374,0
0.933048,1.538155,-1.627476,1.780302,0
-0.18359,1.136159,-0.750402,-0.533707,1
1.468227,0.890291,-0.914817,0.144503,0
2.565988,0.547496,-0.379484,0.368287,0
-1.271426,1.04955,-0.311633,-0.618278,1
-5.825819,-7.592635,-3.860216,-0.847254,1
2.041399,0.130575,-0.33191,-0.567943,1
2.31475,-0.140632,0.78345,-0.636039,0
-1.330085,0.43323,-0.691314,-0.59641,1
3.824251,-0.758595,1.392847,2.804341,1
0.406351,0.653278,-0.345393,0.762113,1
1.267818,0.152697,0.452949,-0.155056,0
1.708308,0.405572,-0.11264,-1.230919,1
2.764346,-0.376792,1.098478,-0.575258,0
