@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute 0.869quality_of_assessment-0.434results_of_prescreening-0.175AM_FM_classification-0.142Diameter_of_Optic_Disc-0.06Distance_to_macula... numeric
@attribute '0.79 results_of_prescreening-0.482Distance_to_macula+0.334quality_of_assessment-0.124AM_FM_classification-0.065MA_Detection_Exudates_3...' numeric
@attribute Class {0,1}

@data
1.569572,0.447339,-0.259453,0.178267,-0.121288,0.841168,0
1.1628,0.86702,-0.618102,1.421324,-0.173612,0.55701,0
-2.317477,-0.57337,0.68581,0.649492,-0.220035,0.013355,1
-1.890267,-0.083931,0.250062,1.063986,0.016169,0.925773,0
-1.268765,1.007526,-0.604528,1.486359,0.00403,1.235747,1
-1.179229,1.008574,-0.527185,1.048025,-0.078842,0.769351,1
0.324623,1.422501,-1.393321,1.951862,1.379089,-2.673212,1
3.073834,1.173457,-1.13626,-2.909817,-0.016296,-0.563945,0
1.5802,0.617873,-0.404461,0.788655,0.097853,0.88509,1
-4.314998,0.994822,0.355681,-0.864633,-0.190163,-0.457917,1
-0.923947,-0.268371,1.506682,-0.218998,-0.075642,-0.216315,0
1.059161,1.223717,-1.112742,1.552401,1.003338,-3.084923,0
-3.907532,1.026764,0.077775,-1.108962,0.04783,0.050942,1
-0.167087,0.848073,-0.534382,1.341614,-0.527622,0.548238,1
-6.776711,1.076714,0.650488,0.115611,-0.346442,-0.188275,0
2.222345,0.375121,0.189647,-1.9016,-0.201967,-0.619502,0
-4.025879,-12.409468,-2.363376,0.412565,-0.671803,-0.699553,1
0.460469,0.650384,-1.504829,-0.788526,0.036854,0.035925,0
-3.165066,1.07902,-0.014189,-1.090033,-0.038738,-0.209681,0
0.52064,-0.339438,0.197744,0.501758,1.229543,-3.160718,1
-0.191829,0.142735,0.406877,1.058491,0.12517,1.102845,0
2.794126,-0.551576,1.161249,0.419202,-0.031589,1.014041,1
-0.252824,0.950492,-1.348789,0.370789,1.697249,-2.688112,1
2.837914,0.427575,-0.230611,-0.356929,-0.235182,0.162416,0
3.345903,0.869075,-0.517168,-1.608818,-0.360475,-0.7842,1
0.69309,-2.426117,-0.891356,-0.537854,-0.276082,-0.040914,1
-1.284283,-0.576093,1.353136,0.086393,-0.133776,-0.188268,0
-2.108399,-5.2622,3.006206,-0.375429,-0.654246,-1.191914,1
-1.115553,0.690464,-0.168336,-0.100518,-0.105138,-0.002677,0
-4.849964,0.843839,0.148192,1.649988,-0.275167,0.742315,1
2.335572,1.275079,-1.174889,-1.720648,-0.225217,-0.394599,0
-1.037974,1.339106,-0.715565,-1.283513,0.025816,-0.209075,1
-2.854957,-2.199727,3.508652,1.902602,-0.720812,0.039973,1
3.029614,-0.610923,1.088227,0.149977,0.132312,0.391903,0
-2.624526,0.453129,0.20709,0.675079,0.133315,1.121886,1
0.004468,1.434237,-1.557698,2.269314,1.579798,-1.915301,0
3.375705,1.045413,-1.246021,0.023483,-0.229221,0.47986,1
-3.366295,0.691338,0.22435,0.887841,-0.058502,0.789967,1
-0.963581,0.610214,-0.158865,1.553649,0.035708,1.276166,0
1.900016,0.589955,-1.199594,2.029864,1.625564,-2.142752,1
-4.152748,0.792834,0.383834,-0.945004,0.005835,0.000877,1
2.995074,0.367001,-0.280575,0.482681,0.206025,0.876799,0
-0.096217,-2.735439,1.501542,0.179592,-0.404736,-0.127338,1
1.90153,1.465808,-1.861252,1.563032,-0.00047,1.191014,0
3.32631,0.57723,-0.533594,0.347903,-0.212841,0.616659,0
-0.276294,1.141197,-0.779491,0.549458,-0.051664,0.526217,1
-2.854322,0.298706,0.740971,-0.069849,0.191171,0.831055,1
2.452386,1.089633,-1.318123,2.010134,-0.10393,1.050095,0
-0.491405,0.190795,0.485908,1.570083,-0.484999,-0.26059,1
2.559223,-0.328283,0.281838,2.409374,-0.118452,1.892159,0
0.933048,1.538155,-1.627476,1.780302,-0.305017,0.540216,0
-0.18359,1.136159,-0.750402,-0.533707,-0.223891,0.371981,1
1.468227,0.890291,-0.914817,0.144503,0.191132,0.840782,0
2.565988,0.547496,-0.379484,0.368287,-0.245424,0.555561,0
-1.271426,1.04955,-0.311633,-0.618278,-0.100734,-0.227324,1
-5.825819,-7.592635,-3.860216,-0.847254,-0.044454,0.122729,1
2.041399,0.130575,-0.33191,-0.567943,-0.159196,0.292067,1
2.31475,-0.140632,0.78345,-0.636039,0.333308,0.527916,0
-1.330085,0.43323,-0.691314,-0.59641,-0.327797,0.107127,1
3.824251,-0.758595,1.392847,2.804341,1.123807,-2.583958,1
0.406351,0.653278,-0.345393,0.762113,0.136271,1.036249,1
1.267818,0.152697,0.452949,-0.155056,0.104405,0.302962,0
1.708308,0.405572,-0.11264,-1.230919,0.168264,-0.085895,1
2.764346,-0.376792,1.098478,-0.575258,-0.326829,-0.367899,0
-3.123242,0.048976,1.585979,-2.672579,0.114044,-0.797917,1
1.692525,1.275043,-1.356759,0.132711,-0.318423,0.415789,1
-2.897269,0.926545,0.215477,-1.443019,-0.110627,-0.643724,0
-2.022047,0.419723,0.372449,1.207094,-0.044966,0.880597,1
-0.331429,-0.585833,1.824473,-0.470834,-0.33993,-0.235478,1
-4.427673,0.323097,1.368517,-1.39611,0.101455,-0.094874,0
-3.894543,1.024814,-0.027507,-1.034285,-0.018905,-0.0758,1
2.111072,0.707527,-0.446833,-1.315587,-0.032071,0.263041,0
-2.2449,0.761169,0.230041,-2.12255,0.370006,0.226971,1
-3.157887,0.382708,0.543168,-1.044709,0.111984,0.117957,0
-2.82557,0.480172,0.225151,-0.02079,0.149279,0.80407,1
-1.344284,0.890947,-0.617373,-0.877028,0.058216,0.095831,1
-0.391313,0.291233,0.232098,-0.104896,0.180992,0.682539,0
0.888888,0.80105,-0.50286,1.687773,-0.214589,0.592025,0
2.224774,0.172733,0.127214,-1.255781,-0.098357,0.000768,0
0.934639,-0.063851,0.062872,-0.361431,0.198915,0.481338,1
-4.520081,-0.569871,0.985566,0.30665,0.082189,0.768565,1
1.368262,1.139972,-1.201132,-0.034098,0.259728,0.977771,0
