@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute 0.869quality_of_assessment-0.434results_of_prescreening-0.175AM_FM_classification-0.142Diameter_of_Optic_Disc-0.06Distance_to_macula... numeric
@attribute '0.79 results_of_prescreening-0.482Distance_to_macula+0.334quality_of_assessment-0.124AM_FM_classification-0.065MA_Detection_Exudates_3...' numeric
@attribute 0.667Diameter_of_Optic_Disc+0.617Distance_to_macula+0.267quality_of_assessment+0.249results_of_prescreening+0.104MA_Detection_Exudates_8... numeric
@attribute '0.903AM_FM_classification+0.19 quality_of_assessment-0.152MA_Detection_Exudates_4-0.142MA_Detection_Exudates_3+0.14 MA_Detection_Exudates_8...' numeric
@attribute '0.569MA_Detection_Exudates_8-0.499MA_Detection_Exudates_5-0.344MA_Detection_Exudates_4+0.31 MA_Detection_Exudates_7+0.276MA_Detection_Exudates_1...' numeric
@attribute Class {0,1}

@data
1.569572,0.447339,-0.259453,0.178267,-0.121288,0.841168,-1.151241,1.243712,-0.19609,0
1.1628,0.86702,-0.618102,1.421324,-0.173612,0.55701,1.416483,-0.572171,0.034564,0
-2.317477,-0.57337,0.68581,0.649492,-0.220035,0.013355,0.972721,-0.482859,-0.618821,1
-1.890267,-0.083931,0.250062,1.063986,0.016169,0.925773,-0.630858,-0.282093,-0.297083,0
-1.268765,1.007526,-0.604528,1.486359,0.00403,1.235747,-0.515067,-0.049734,-0.03226,1
-1.179229,1.008574,-0.527185,1.048025,-0.078842,0.769351,0.202394,-0.178474,-0.130981,1
0.324623,1.422501,-1.393321,1.951862,1.379089,-2.673212,0.66274,-0.431473,-0.118066,1
3.073834,1.173457,-1.13626,-2.909817,-0.016296,-0.563945,-0.277628,0.61854,-0.403889,0
1.5802,0.617873,-0.404461,0.788655,0.097853,0.88509,-0.03622,-0.70294,0.279367,1
-4.314998,0.994822,0.355681,-0.864633,-0.190163,-0.457917,0.759179,0.026689,-0.220577,1
-0.923947,-0.268371,1.506682,-0.218998,-0.075642,-0.216315,0.81011,-0.84785,0.224221,0
1.059161,1.223717,-1.112742,1.552401,1.003338,-3.084923,0.75162,1.365413,-0.566567,0
-3.907532,1.026764,0.077775,-1.108962,0.04783,0.050942,-0.616818,-0.045005,-0.190849,1
-0.167087,0.848073,-0.534382,1.341614,-0.527622,0.548238,0.544884,1.770455,-0.591527,1
-6.776711,1.076714,0.650488,0.115611,-0.346442,-0.188275,0.707352,0.499807,-0.487554,0
2.222345,0.375121,0.189647,-1.9016,-0.201967,-0.619502,0.377487,0.688893,-0.197623,0
-4.025879,-12.409468,-2.363376,0.412565,-0.671803,-0.699553,1.881816,1.352627,-0.356476,1
