@relation 'dr-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,12'

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
0,-38.605163,20.891503,48.155525,-66.451986,-130.738587,85.880006,161.872947,88.581846,141.596045,124.725602,cluster1,0
1,-33.214642,8.558318,48.64868,-75.958511,-135.128053,104.540581,183.744949,88.919484,148.772856,147.141244,cluster1,0
2,-112.177524,97.094519,49.74892,-151.498951,-328.94179,78.125767,241.031944,180.196059,307.416582,175.330144,cluster0,1
3,-110.707455,99.720381,42.723826,-134.114805,-291.721821,53.441348,193.833787,158.718656,268.096401,120.375724,cluster0,0
4,-108.129028,96.249161,20.956754,-108.707613,-234.332007,15.153452,130.922721,116.239453,214.340363,46.586682,cluster0,1
5,-111.956462,95.904624,39.040105,-113.856235,-232.071805,38.252338,147.979956,127.371017,214.64526,65.689632,cluster0,1
6,-62.933529,58.307532,14.282078,-69.165436,-154.653655,18.162126,94.869074,79.002284,143.570933,44.643105,cluster1,1
7,2.166229,-5.92786,12.378909,-19.552259,-35.95609,43.14954,64.87981,26.74565,42.021541,48.346397,cluster1,0
8,-24.3928,4.180311,57.599691,-71.108907,-124.103529,121.363708,192.746492,86.47639,137.256946,172.42628,cluster1,1
9,-193.604516,171.537019,32.407819,-191.315138,-396.862552,19.207745,196.378509,198.406775,354.438013,62.112342,cluster0,1
10,-52.711198,28.446945,74.614125,-125.534604,-259.534761,163.906164,298.309811,210.411592,313.613063,238.13699,cluster0,0
11,-55.248251,34.987423,21.90151,-66.93425,-133.194533,40.852818,110.784833,83.969381,142.872214,57.206458,cluster1,0
12,-197.73297,172.860096,31.36819,-167.621453,-355.551272,-5.323657,155.309703,179.576075,324.058467,30.894204,cluster0,1
13,-99.303575,91.500453,19.764754,-104.518125,-222.253894,26.152606,119.217551,82.365658,173.188662,81.280605,cluster0,1
14,-279.799992,234.003049,60.554143,-230.116457,-486.060026,-15.229175,204.859616,264.252382,451.33349,7.603945,cluster0,0
15,-2.889271,-14.904934,46.024636,-62.848814,-109.453294,134.478649,193.189191,98.97823,147.142564,179.058915,cluster1,0
16,-95.128487,47.466278,70.404495,-225.030181,-488.971155,193.771262,417.004582,220.433392,425.699959,470.287781,cluster0,1
17,-58.942836,42.435305,19.606766,-65.087169,-130.53164,29.522118,93.639337,78.565096,136.375482,43.239655,cluster1,0
18,-167.221327,150.380588,33.020878,-154.039655,-337.494992,4.698322,167.148375,158.664814,294.897105,51.586981,cluster0,0
19,-78.937305,46.156516,116.90693,-140.435483,-256.754345,181.287126,326.278898,136.472512,219.653344,287.790498,cluster0,1
20,-50.842609,28.030079,49.268888,-105.08225,-208.844123,113.745766,226.580698,147.464672,236.09104,168.138192,cluster0,0
21,-15.769711,-34.135288,176.846817,-114.39024,-159.700834,311.481024,440.105831,144.451576,191.563227,417.605914,cluster0,1
22,-92.931066,77.886304,18.003226,-84.921041,-173.504125,7.839714,81.118427,86.061043,156.567563,34.241914,cluster1,1
23,-2.93057,-9.816106,69.377759,-45.241506,-79.458344,132.743522,188.030585,80.086502,105.818674,178.145361,cluster1,0
24,-25.275444,-18.241264,146.919658,-77.490883,-86.996035,217.556722,310.630192,78.149123,92.747364,268.840315,cluster0,1
25,-52.331146,33.456556,59.909331,-97.673676,-209.258291,108.582012,218.677849,92.399039,176.174003,221.54765,cluster0,1
26,-68.410317,69.304609,59.949788,-128.249288,-296.709163,119.493345,259.496643,185.248001,293.342447,227.448432,cluster0,0
27,-167.869854,92.151276,282.988364,-301.205017,-555.984825,453.280843,775.438304,260.799818,448.184387,793.234639,cluster0,1
28,-91.660961,84.599277,32.413587,-113.258511,-246.866436,45.698539,170.263368,130.357173,225.947689,95.742037,cluster0,0
29,-221.140463,212.096249,5.665199,-218.737238,-457.618886,-12.05173,164.410992,156.153971,342.568509,81.312382,cluster0,1
30,-35.498381,23.028524,35.367049,-41.776546,-73.456223,50.607569,95.267203,43.671235,70.86791,62.325895,cluster1,0
31,-112.741245,90.388254,30.440121,-104.496262,-204.509376,19.216608,106.450961,118.118516,199.274731,27.836263,cluster0,1
32,-173.761359,133.089275,172.990141,-282.217407,-541.850085,303.640903,573.171617,247.166112,432.148584,571.528003,cluster0,1
33,9.788995,-55.42989,198.215212,-100.775504,-132.558358,335.679454,464.238218,153.169471,177.476409,452.764085,cluster0,0
34,-142.076361,131.776895,25.451215,-149.18639,-335.436939,20.428338,186.867052,142.078367,284.103011,101.078502,cluster0,1
35,-83.575313,75.562161,16.61917,-71.446782,-157.944572,-3.571892,71.534773,79.189212,140.768096,9.19458,cluster1,0
36,-2.749997,-11.457982,46.534238,-25.827316,-30.169517,84.21673,116.812587,31.665828,41.857431,100.991095,cluster1,1
37,-164.187816,152.175599,32.818826,-168.283128,-362.727878,20.902528,183.568058,169.739103,310.468364,77.493841,cluster0,1
38,-92.108103,73.388208,39.185325,-113.056772,-231.543102,60.94114,177.995123,134.573018,230.19026,103.956129,cluster0,0
39,-9.086468,-8.186036,35.690994,-50.61409,-93.724656,83.193959,142.053009,69.186687,109.079556,123.750734,cluster1,1
40,-186.190354,177.784751,26.234786,-183.712127,-395.496005,13.387535,195.923359,192.33285,346.845528,64.621196,cluster0,1
41,34.522952,-38.670822,56.567146,-27.299807,-50.466905,140.105755,176.500549,79.122035,97.037938,184.53212,cluster1,0
42,-74.970568,23.349588,173.022878,-167.627658,-297.166091,279.068022,477.229944,220.560136,317.502356,430.917899,cluster0,1
43,-29.307299,29.898982,2.023152,-26.361737,-59.461795,-0.147146,24.888237,19.722417,47.649351,9.343396,cluster1,0
44,6.912783,-32.646627,74.204397,-42.53963,-50.563292,147.202748,196.623454,68.925318,86.410806,177.607504,cluster1,0
45,-81.848771,65.749561,22.092274,-90.677412,-184.387981,31.396663,117.744795,94.457996,174.303326,60.527795,cluster1,1
46,-143.641023,119.342577,56.882562,-159.402639,-332.97362,66.936542,218.47857,196.404075,321.280057,113.425617,cluster0,1
