@relation 'dr-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,12'

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
0,103.041133,-36.768389,50.241362,37.124107,31.948157,-35.977745,36.373067,-118.677903,-70.158854,-9.136296,cluster1,0
1,106.564099,-37.699497,39.843929,27.646853,35.437924,-36.778687,41.569219,-131.393463,-71.837135,-5.766562,cluster1,0
2,269.459857,-93.786599,125.35415,129.487938,56.585916,-108.863346,107.38715,-182.61198,-195.887748,-22.047798,cluster0,1
3,241.60539,-86.464967,119.983375,131.002549,40.069563,-95.400368,95.262794,-152.014267,-177.092291,-15.807655,cluster1,0
4,200.010186,-76.210236,109.119201,128.915314,9.321175,-74.478185,76.210236,-102.846782,-146.399975,-0.710801,cluster0,1
5,201.788823,-70.453377,109.119201,127.722535,11.452034,-69.842739,76.210236,-120.219509,-144.621339,-3.993713,cluster0,1
6,129.110086,-50.229473,67.549981,77.745146,13.970711,-48.497423,50.229473,-74.219357,-96.056519,-2.829293,cluster0,1
7,25.246923,-10.131836,5.196152,-2.854711,15.716728,-7.188672,8.660254,-46.825152,-19.786398,-2.119441,cluster1,0
8,92.664845,-30.317173,27.712813,18.97996,39.975376,-30.304605,38.105118,-141.298697,-61.487677,-10.654047,cluster0,1
9,349.113822,-126.266885,178.401233,230.055232,10.800269,-124.880482,136.832014,-161.936062,-251.907808,-1.514909,cluster0,1
10,212.255912,-74.522492,121.243557,55.508976,113.644695,-79.63003,77.942286,-217.922496,-151.474757,-29.953605,cluster1,0
11,120.467047,-43.100146,65.817931,57.043164,18.524089,-40.038293,41.569219,-79.286276,-82.182898,-0.755576,cluster1,0
12,328.283204,-112.084543,183.605698,224.300057,-5.185932,-111.350011,121.243557,-127.681503,-227.696793,-1.083417,cluster0,1
13,191.394306,-67.222217,50.229473,117.8864,-6.079138,-64.413645,81.406388,-95.586393,-129.035094,-4.163682,cluster0,1
14,458.198932,-159.234194,273.664028,308.22292,-3.954757,-157.731103,162.812776,-169.674293,-314.295728,-0.694869,cluster1,0
15,84.126463,-26.546204,29.449944,-1.472503,64.432202,-25.41532,32.908965,-138.428272,-56.166266,-15.218417,cluster1,0
16,408.539172,-105.76378,78.141318,79.163502,112.377647,-171.364349,180.133284,-299.392652,-267.36045,-68.858773,cluster0,1
17,120.794916,-40.729471,68.081196,62.47584,14.038161,-40.676917,43.30127,-69.822249,-81.651128,-2.175833,cluster1,0
18,291.939211,-108.980455,154.152522,195.470644,0.558474,-107.525896,110.851252,-135.179542,-210.355523,-1.571562,cluster1,0
