@relation 'dr-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse2_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,12'

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
0,-61.995713,69.067637,-43.780701,28.438463,-66.313127,100.783333,71.785015,53.796391,29.339321,153.785015,cluster0,0
1,-66.195198,90.292806,-37.515974,33.719022,-76.73486,110.274296,90.09182,51.508168,37.693044,170.09182,cluster0,0
2,-106.418097,92.427369,-173.283533,-0.032971,-80.079303,171.121243,109.450837,189.309319,-29.050651,327.382691,cluster0,1
3,-92.78859,66.235596,-161.846176,0.084866,-53.283534,139.669546,81.5906,170.978768,-45.695278,277.578356,cluster0,0
4,-76.397527,42.587075,-141.355329,2.397527,-10.606851,90.606851,45.786089,149.355329,-70.345019,211.786089,cluster0,1
5,-88.814807,47.032969,-128.931711,12.167359,-27.551103,104.903655,48.939561,134.931711,-57.454559,210.939561,cluster0,1
6,-47.103254,34.247406,-92.617596,-0.896746,-14.877028,64.877028,37.610042,96.617596,-38.206458,145.610042,cluster0,1
7,-12.613832,30.156004,-3.244026,12.313068,-30.198866,33.898102,37.751546,7.244026,19.04623,55.751546,cluster0,0
8,-68.874925,97.973121,-18.891489,37.882181,-88.501831,117.509087,94.199597,32.891489,53.501685,164.199597,cluster0,1
9,-130.740986,59.575048,-246.993974,-5.458574,-8.86406,146.6645,61.114794,257.040746,-136.257858,347.114794,cluster0,1
10,-90.495269,127.409333,-141.279975,10.546431,-143.262387,221.313549,136.674943,147.279975,58.170371,306.674943,cluster1,0
11,-50.621964,41.186352,-79.098722,8.389726,-31.673732,73.441494,42.801268,85.098722,-13.429632,138.801268,cluster0,0
12,-129.459813,38.239789,-234.162641,-3.125703,2.694903,126.738777,28.063673,248.361013,-135.763695,294.063673,cluster0,1
13,-78.412377,56.528839,-105.288175,10.033907,-10.994797,74.616327,48.186991,131.311049,-60.008311,200.186991,cluster0,1
14,-173.711187,26.459081,-338.039803,1.578997,3.274799,172.593011,27.922835,348.039803,-182.357353,387.922835,cluster0,0
15,-52.307674,100.17489,-29.414698,20.954724,-100.405654,129.064436,96.840762,39.510498,67.266738,164.840762,cluster0,0
16,-158.07179,225.863718,-188.316202,-30.032538,-221.6456,306.000916,257.05564,265.65523,59.909684,558.368646,cluster1,1
17,-48.81605,33.631844,-80.644908,5.232998,-23.443454,69.08719,33.922362,86.706866,-23.778272,127.80464,cluster0,0
18,-113.233947,48.101105,-202.568871,5.073737,-5.375545,117.215335,51.560861,216.568871,-111.726819,289.560861,cluster0,0
19,-141.190286,148.801406,-26.313024,78.264934,-129.605084,179.423732,156.6456,46.45642,62.43062,296.55208,cluster1,1
20,-74.482215,99.804917,-104.960745,14.050929,-93.599133,155.210935,107.392623,113.296199,26.642755,243.392623,cluster0,0
21,-160.412369,214.783615,86.636401,130.312053,-218.030711,243.950399,208.002807,-72.600397,191.085861,271.998807,cluster1,1
22,-65.593413,24.376341,-109.955969,-3.787703,-8.168955,67.451163,18.698781,120.210047,-56.907491,148.698781,cluster0,1
23,-60.156588,87.918552,12.454528,42.324058,-100.611682,116.779152,87.025252,-6.3729,81.553824,127.025252,cluster0,0
24,-130.08954,138.39014,108.3217,125.726528,-141.5402,149.22362,140.126686,-104.311146,132.358724,160.122464,cluster1,1
25,-92.322134,112.326232,-45.8346,27.389804,-98.595088,135.77789,118.465478,79.253308,38.718028,239.642642,cluster0,1
26,-87.565437,110.705075,-148.992203,-2.412903,-116.103341,192.256409,125.933907,164.199905,19.021803,313.933907,cluster0,0
27,-365.335077,403.031945,40.320885,197.858801,-366.247589,433.767145,384.358109,62.067517,200.780303,668.003785,cluster1,1
28,-77.10903,60.623622,-131.94609,4.091004,-41.30854,114.358894,74.930388,138.65475,-43.77817,238.930388,cluster0,0
29,-141.612539,76.144501,-258.119279,-14.415525,34.563409,115.420999,57.411643,296.116161,-187.540541,383.411643,cluster0,1
30,-48.450679,37.342723,-9.355959,30.434223,-31.307345,51.290889,36.686119,15.355959,8.173767,82.686119,cluster0,0
31,-77.941613,25.672411,-137.859203,3.941613,-8.170475,88.170475,20.993757,141.859203,-64.951687,174.993757,cluster0,1
32,-275.905128,295.631258,-85.356028,110.464292,-235.355582,331.960534,282.308626,159.813904,68.37088,592.306544,cluster1,1
33,-156.17106,215.094236,114.506694,136.959048,-250.42849,261.216478,223.566182,-112.387994,233.38549,257.566182,cluster1,0
34,-106.469838,74.87721,-181.162836,4.461782,-19.889376,120.16906,77.883574,205.331194,-89.053834,305.883574,cluster0,1
35,-52.686557,13.383481,-103.062899,0.686557,1.363429,52.636571,16.630533,105.062899,-58.359937,130.630533,cluster0,0
36,-42.472907,54.216725,34.706627,42.075789,-54.822967,58.425849,53.881817,-30.702491,51.784577,63.881817,cluster0,1
37,-113.089287,60.570813,-212.560301,-1.556209,-13.211383,130.572035,66.424457,226.680179,-111.769305,318.424457,cluster0,1
38,-83.922558,68.399668,-127.816448,10.735954,-46.612922,123.462734,70.752808,135.825554,-30.332074,230.749772,cluster0,0
39,-40.133197,67.619433,-27.281061,18.261111,-69.363101,86.546511,76.232865,33.598097,44.302785,128.194201,cluster0,1
40,-125.935374,60.486908,-239.720542,-10.730894,-6.30195,143.87341,64.285564,245.880072,-140.764748,348.285564,cluster0,1
41,-29.958214,90.814384,10.176244,24.489602,-111.619702,120.15109,93.505544,-8.176244,102.615184,111.505544,cluster0,0
42,-189.98246,202.707758,-23.603718,92.80052,-229.849164,294.839224,219.073352,35.626414,146.627876,386.89251,cluster1,1
43,-19.146382,10.835604,-32.58219,3.146382,3.906702,16.093298,8.093298,40.58219,-22.892968,50.093298,cluster0,0
44,-60.707934,93.87428,39.005656,56.015318,-104.112396,111.41978,93.810002,-34.937428,97.098784,111.810002,cluster1,0
45,-65.058651,46.718753,-106.694739,7.006893,-20.021139,81.969381,44.057387,118.694739,-41.019127,174.057387,cluster0,1
46,-114.684122,72.185356,-198.865832,7.293356,-57.958674,164.567908,78.722756,209.14086,-61.012942,308.722756,cluster0,1
47,-26.311323,56.112589,-7.339197,16.137537,-53.326709,69.187299,55.566947,9.383121,40.323047,83.563127,cluster0,0
48,-88.905105,156.831519,-114.664045,11.729499,-130.368339,201.863629,149.121197,128.762525,48.961903,302.831911,cluster1,1
49,-42.69048,103.606606,-22.457338,21.470698,-120.191998,137.018488,107.8926,33.06659,95.334012,159.88296,cluster0,0
50,-37.684917,19.006137,-61.995439,5.684917,-4.705195,38.705195,20.382419,69.995439,-36.351443,96.382419,cluster0,0
51,-67.824301,7.260765,-121.976369,7.824301,-2.497039,66.497039,6.490809,127.976369,-60.533675,138.490809,cluster0,1
52,-40.403707,48.147615,-41.254291,17.494961,-46.763293,72.018707,54.193727,49.379365,13.752957,116.193727,cluster0,0
53,-47.561177,84.552731,-8.184573,30.719593,-87.534355,106.692771,88.639585,12.208225,64.519683,134.639585,cluster0,0
54,-83.761694,61.594846,-138.01169,5.376758,-24.434758,102.049822,59.321928,156.01169,-60.680772,231.321928,cluster0,1
55,-156.856712,129.360558,-251.949592,-20.900984,-45.882436,181.160716,132.819034,302.287856,-116.820428,467.139904,cluster0,1
56,-68.814466,101.08179,-14.615008,40.972008,-90.13506,119.122834,101.742778,26.909472,60.997524,171.642578,cluster0,1
57,-77.168109,170.394795,9.345001,55.116547,-181.980039,203.947705,175.637115,-5.346923,152.948867,227.635191,cluster1,0
