@relation Mammographic-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N5-R42-DSparse2

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute Severity {0,1}

@data
71,-59,-71,-69,67,1
45,-39,-47,-47,49,1
60,-50,-62,-58,58,1
27,-21,-29,-29,31,0
79,-71,-79,-77,79,1
65,-59,-65,-65,67,0
71,-63,-71,-71,71,0
43,-35,-43,-43,45,0
59,-51,-59,-57,59,1
65,-55,-65,-63,63,1
76,-68,-76,-76,78,1
42,-34,-42,-44,44,1
64,-58,-64,-64,66,0
38,-28,-40,-40,38,0
62,-52,-62,-64,64,0
53,-47,-55,-55,57,0
52,-44,-52,-52,50,0
60,-50,-60,-62,62,1
53,-47,-55,-55,57,1
43,-37,-43,-43,45,0
65,-65,-65,-65,65,1
60,-50,-62,-60,58,1
46,-40,-46,-46,48,0
42,-32,-44,-42,42,1
60,-50,-58,-60,60,1
77,-67,-79,-75,75,1
66,-64,-68,-68,70,0
66,-54,-66,-66,64,0
47,-37,-49,-45,45,1
55,-45,-57,-55,55,0
48,-42,-48,-46,48,0
54,-44,-56,-54,54,1
57,-47,-59,-57,57,1
39,-33,-41,-41,43,0
80,-74,-82,-82,84,0
82,-72,-82,-82,80,0
61,-51,-61,-63,63,0
70,-58,-70,-70,68,1
52,-44,-54,-50,50,1
57,-47,-57,-57,55,0
63,-53,-63,-65,65,0
79,-73,-81,-81,83,0
49,-43,-51,-51,53,0
65,-55,-65,-67,67,0
67,-55,-67,-65,63,1
49,-37,-47,-49,49,1
66,-56,-68,-64,64,1
25,-19,-27,-27,29,0
40,-36,-40,-40,40,0
69,-59,-71,-67,67,1
76,-66,-76,-78,78,0
84,-72,-84,-82,80,1
25,-19,-27,-27,29,0
67,-57,-67,-69,69,0
55,-47,-55,-53,53,1
47,-37,-47,-47,45,0
52,-42,-52,-54,54,0
56,-44,-54,-56,56,0
49,-39,-49,-51,51,0
65,-53,-63,-65,65,1
54,-44,-56,-54,52,1
62,-52,-64,-62,60,1
60,-50,-58,-58,58,0
60,-52,-60,-62,62,0
74,-64,-76,-74,74,1
29,-19,-29,-31,31,0
48,-42,-50,-50,52,0
77,-67,-79,-77,75,1
46,-36,-46,-48,48,0
65,-55,-65,-67,67,0
75,-65,-75,-77,77,0
70,-60,-72,-70,68,1
54,-44,-56,-52,52,0
66,-56,-68,-66,66,1
74,-64,-74,-74,74,1
24,-18,-26,-26,28,0
75,-67,-77,-77,79,1
63,-57,-65,-65,67,0
63,-53,-65,-63,61,1
71,-59,-69,-71,71,0
68,-60,-70,-66,66,0
45,-35,-47,-45,45,1
66,-62,-68,-68,70,1
59,-51,-59,-59,59,0
55,-45,-57,-55,55,1
36,-30,-36,-36,38,0
58,-48,-60,-58,58,1
40,-32,-40,-40,42,0
65,-59,-67,-67,69,0
64,-56,-64,-62,64,1
74,-64,-74,-74,72,1
79,-71,-81,-79,79,1
69,-63,-71,-71,73,0
61,-49,-61,-63,63,1
61,-53,-61,-61,63,0
54,-44,-56,-54,54,1
42,-36,-44,-44,46,0
51,-41,-51,-53,53,0
62,-52,-64,-62,62,0
34,-24,-34,-36,36,0
65,-53,-63,-65,65,0
70,-60,-68,-70,70,0
60,-52,-62,-60,60,0
34,-24,-32,-34,34,0
60,-54,-62,-62,64,0
56,-50,-58,-58,60,0
46,-40,-48,-48,50,1
37,-29,-37,-39,39,0
56,-50,-58,-58,60,0
36,-26,-38,-36,36,1
44,-36,-46,-44,44,0
71,-61,-73,-71,71,1
60,-50,-62,-60,60,0
60,-50,-60,-62,62,0
44,-34,-44,-44,42,0
55,-49,-57,-57,59,0
49,-39,-49,-51,51,0
59,-49,-59,-61,61,0
57,-45,-57,-57,55,1
86,-76,-88,-84,84,0
51,-41,-53,-51,51,1
45,-39,-47,-47,49,0
26,-16,-26,-28,28,0
65,-59,-67,-67,69,0
33,-23,-35,-33,33,0
61,-53,-63,-61,59,0
82,-72,-80,-82,80,0
42,-36,-44,-44,46,0
55,-47,-55,-55,55,0
42,-32,-44,-40,40,1
67,-57,-69,-67,67,1
77,-67,-79,-77,75,1
86,-76,-88,-86,86,0
65,-55,-63,-65,65,0
66,-56,-68,-66,66,1
48,-38,-50,-46,46,1
58,-50,-60,-58,58,1
65,-55,-67,-65,65,1
52,-46,-54,-54,56,0
71,-59,-71,-69,67,1
82,-72,-84,-80,80,1
56,-46,-56,-58,58,0
50,-44,-52,-52,54,0
47,-41,-49,-49,51,0
54,-44,-54,-56,56,0
64,-54,-66,-62,62,1
63,-53,-65,-63,63,1
63,-55,-65,-63,63,1
70,-62,-72,-70,70,1
40,-34,-42,-42,44,0
56,-46,-58,-56,56,1
70,-60,-72,-70,70,1
65,-59,-67,-67,69,0
49,-39,-47,-49,49,0
32,-26,-34,-32,32,0
60,-50,-60,-60,58,0
61,-49,-59,-61,61,1
52,-44,-52,-52,52,0
66,-56,-66,-68,68,0
58,-50,-60,-58,58,1
67,-57,-69,-67,67,1
42,-32,-42,-44,44,0
24,-14,-26,-26,24,0
53,-45,-53,-53,53,0
43,-33,-43,-45,45,0
89,-79,-91,-87,87,1
67,-61,-69,-69,71,1
63,-57,-65,-65,67,0
58,-46,-58,-56,54,1
88,-78,-90,-86,86,1
22,-12,-22,-24,24,0
41,-35,-43,-43,45,0
52,-44,-54,-52,52,0
43,-35,-45,-43,43,0
53,-47,-55,-55,57,0
65,-55,-67,-63,63,1
66,-56,-66,-68,68,0
47,-37,-47,-49,49,0
73,-63,-75,-71,71,0
49,-39,-51,-49,49,1
48,-40,-50,-48,48,0
65,-55,-67,-65,65,0
18,-12,-20,-20,22,0
35,-29,-37,-37,39,0
77,-67,-77,-77,73,1
76,-66,-78,-74,74,1
37,-27,-39,-37,37,1
67,-61,-67,-67,69,0
83,-71,-83,-83,81,1
59,-49,-61,-59,59,1
33,-27,-35,-35,37,0
81,-71,-83,-81,79,1
62,-50,-64,-64,62,0
40,-34,-42,-42,44,1
49,-43,-51,-51,53,0
85,-75,-87,-85,85,1
45,-39,-47,-47,49,0
66,-56,-68,-66,66,1
75,-65,-77,-77,75,0
54,-48,-56,-56,58,0
50,-40,-50,-52,52,0
47,-41,-49,-47,47,0
52,-44,-54,-50,50,1
45,-41,-47,-45,45,0
59,-51,-61,-57,57,0
74,-64,-76,-72,72,1
49,-39,-47,-49,47,0
44,-36,-46,-44,42,1
47,-47,-49,-47,47,0
70,-60,-70,-72,72,0
47,-41,-49,-49,51,0
70,-60,-72,-72,70,0
59,-57,-61,-61,63,1
